ae_id,speaker,start_time,end_time,sentence,source,targets
ES2012a.A.argumentstructs.Erik.1,A,544.34,550.64,Any any thoughts about buttons or any oth other way of approaching the p the uh the problem ?,NONE,"ES2012a.A.argumentstructs.Erik.2, ES2012a.D.argumentstructs.Erik.2"
ES2012a.A.argumentstructs.Erik.2,A,552.04,555.36,"Or anybody else, strong feelings about remote controls ?",ES2012a.A.argumentstructs.Erik.1,ES2012a.A.argumentstructs.Erik.3
ES2012a.A.argumentstructs.Erik.3,A,555.36,562.58,"Are there you know, bad ones they've used or good ones they've used or ones that they've lost and never found again ?",ES2012a.A.argumentstructs.Erik.2,ES2012a.B.argumentstructs.Erik.1
ES2012a.B.argumentstructs.3,B,559.7,560.86,Um,NONE,NONE
ES2012a.B.argumentstructs.Erik.1,B,562.98,572.65,I think it's important that you should be able to  when you when you press the buttons it'll actually pick up the signals from kind of anywhere and you shouldn't have to like contort yourself and twist your remote control to get it  the T_V_ to actually pick up the signal.,ES2012a.A.argumentstructs.Erik.3,"ES2012a.D.argumentstructs.Erik.1, ES2012a.C.argumentstructs.Erik.1"
ES2012a.D.argumentstructs.Erik.1,D,571.96,572.22,Yeah.,ES2012a.B.argumentstructs.Erik.1,NONE
ES2012a.C.argumentstructs.Erik.1,C,572.82,573.24,Yeah.,ES2012a.B.argumentstructs.Erik.1,NONE
ES2012a.D.argumentstructs.10,D,578.65,580.93,"T_V_s and D_V_ players, like they aren't",NONE,NONE
ES2012a.B.argumentstructs.4,B,579.16,586.38,Mm. Mm.,NONE,NONE
ES2012a.D.argumentstructs.Erik.2,D,582.23,591.776,"like an area that's put a lot of effort into, they're very boring, very plain. Like it's very  a very  like um making a a stylish remote control would be a very like",ES2012a.A.argumentstructs.Erik.1,"ES2012a.D.argumentstructs.Erik.3, ES2012a.A.argumentstructs.Erik.4"
ES2012a.D.argumentstructs.Erik.3,D,593.0,595.21,Easily put us one step ahead of the current competition.,ES2012a.D.argumentstructs.Erik.2,NONE
ES2012a.A.argumentstructs.Erik.4,A,594.74,599.15,Um what so wh what's in in  what particular style features are you thinking about ?,ES2012a.D.argumentstructs.Erik.2,ES2012a.D.argumentstructs.Erik.4
ES2012a.D.argumentstructs.11,D,599.13,599.6,Um.,NONE,NONE
ES2012a.D.argumentstructs.Erik.4,D,600.95,613.18,"Something that looks looks  doesn't look like remote control. So if you want,  something that looks like uh  something that makes you think oh what's this ? Like this pen doesn't really look like a pen, but it makes you think oh.",ES2012a.A.argumentstructs.Erik.4,ES2012a.A.argumentstructs.Erik.5
ES2012a.A.argumentstructs.12,A,613.42,613.42,.,NONE,NONE
ES2012a.A.argumentstructs.Erik.5,A,616.08,623.648,"Yeah d no I mean do you think there's a risk if it doesn't look like remote control,  people won't see it as a remote control um and uh",ES2012a.D.argumentstructs.Erik.4,ES2012a.D.argumentstructs.Erik.5
ES2012a.D.argumentstructs.12,D,616.22,626.58,. Uh I suppose suppose that's up to the marketing to,NONE,NONE
ES2012a.D.argumentstructs.Erik.5,D,628.08,630.27,to make make people aware of the product.,ES2012a.A.argumentstructs.Erik.5,NONE
ES2012a.A.argumentstructs.13,A,630.22,630.48,Uh-huh.,NONE,NONE
