ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007d.D.argumentstructs.22,D,602.7,611.46,A one a one. So I'll just write criteria criteria one we get one.,NONE,NONE
ES2007d.D.argumentstructs.Erik.7,D,611.46,620.968,"Second criteria, new technology. Have we implemented new technology ? As in the new high-tech",NONE,ES2007d.B.argumentstructs.Erik.7
ES2007d.B.argumentstructs.Erik.7,B,618.88,620.26,"Well, the kinetic thing, yeah.",ES2007d.D.argumentstructs.Erik.7,"ES2007d.C.argumentstructs.Erik.5, ES2007d.A.argumentstructs.Erik.8, ES2007d.C.argumentstructs.Erik.6"
ES2007d.C.argumentstructs.Erik.5,C,620.29,620.64,Yeah.,ES2007d.B.argumentstructs.Erik.7,NONE
ES2007d.A.argumentstructs.Erik.8,A,620.58,621.02,Yeah.,ES2007d.B.argumentstructs.Erik.7,NONE
ES2007d.C.argumentstructs.Erik.6,C,622.16,629.18,"That was our main technological innovation w every everything else was fairly simple, but the fact that we used the kinetic energy was new.",ES2007d.B.argumentstructs.Erik.7,ES2007d.D.argumentstructs.Erik.8
ES2007d.D.argumentstructs.23,D,625.95,625.95,.,NONE,NONE
ES2007d.A.argumentstructs.13,A,625.956,625.956,.,NONE,NONE
ES2007d.D.argumentstructs.Erik.8,D,627.25,628.144,So we'll give it a,ES2007d.C.argumentstructs.Erik.6,"ES2007d.C.argumentstructs.Erik.7, ES2007d.D.argumentstructs.Erik.10"
ES2007d.B.argumentstructs.13,B,628.81,630.34,Well so the um,NONE,NONE
ES2007d.C.argumentstructs.Erik.7,C,630.63,635.37,"It's ergonomic, but that's not  that's that's a design that's a des that's a design thing, yeah.",ES2007d.D.argumentstructs.Erik.8,"ES2007d.B.argumentstructs.Erik.8, ES2007d.A.argumentstructs.Erik.9"
ES2007d.B.argumentstructs.Erik.8,B,631.5,631.81,Yeah.,ES2007d.C.argumentstructs.Erik.7,NONE
ES2007d.A.argumentstructs.Erik.9,A,631.83,637.92,"Yeah, but that's not a technological thing, that's another thing, i that's another marketing thing. So on the technical side of it it",ES2007d.C.argumentstructs.Erik.7,"ES2007d.B.argumentstructs.Erik.9, ES2007d.D.argumentstructs.Erik.9"
ES2007d.B.argumentstructs.Erik.9,B,633.17,635.45,Yeah. Yeah. True.,ES2007d.A.argumentstructs.Erik.9,NONE
ES2007d.D.argumentstructs.Erik.9,D,635.67,636.06,Yeah.,ES2007d.A.argumentstructs.Erik.9,NONE
ES2007d.D.argumentstructs.Erik.10,D,637.7,641.8,I'd say it's about a a twoish ? Two. Three.,ES2007d.D.argumentstructs.Erik.8,"ES2007d.C.argumentstructs.Erik.8, ES2007d.B.argumentstructs.Erik.10, ES2007d.C.argumentstructs.Erik.9"
ES2007d.C.argumentstructs.Erik.8,C,638.72,641.45,"It's about in the mid in the middle somewhere, maybe, yeah, I dunno.",ES2007d.D.argumentstructs.Erik.10,NONE
ES2007d.B.argumentstructs.Erik.10,B,639.18,639.88,Two.,ES2007d.D.argumentstructs.Erik.10,ES2007d.B.argumentstructs.Erik.11
ES2007d.B.argumentstructs.Erik.11,B,642.09,642.46,Yeah.,ES2007d.B.argumentstructs.Erik.10,NONE
ES2007d.C.argumentstructs.Erik.9,C,642.49,643.15,"Maybe three, yeah.",ES2007d.D.argumentstructs.Erik.10,ES2007d.D.argumentstructs.Erik.11
ES2007d.D.argumentstructs.Erik.11,D,644.419,645.33,three.,ES2007d.C.argumentstructs.Erik.9,NONE
