ae_id,speaker,start_time,end_time,sentence,source,targets
IS1004b.D.argumentstructs.20,D,1846.0,1850.28,"one question, what would be the goal of putting an L_C_D_ in a remote control ?",NONE,NONE
IS1004b.B.argumentstructs.16,B,1851.35,1851.65,Well th,NONE,NONE
IS1004b.D.argumentstructs.Rutger.11,D,1851.37,1853.29,What what kind of information ?,NONE,"IS1004b.B.argumentstructs.Rutger.9, IS1004b.A.argumentstructs.Rutger.10, IS1004b.D.argumentstructs.Rutger.15"
IS1004b.B.argumentstructs.Rutger.9,B,1853.92,1858.78,"'Cause you can have things like the programme name instead of the channel numbers, like an interactive programme guide.",IS1004b.D.argumentstructs.Rutger.11,IS1004b.D.argumentstructs.Rutger.12
IS1004b.D.argumentstructs.Rutger.12,D,1857.5,1863.44,Yeah but mo most of the T_V_s nowadays show the show the,IS1004b.B.argumentstructs.Rutger.9,NONE
IS1004b.A.argumentstructs.20,A,1860.86,1862.09,They have tele teletext.,NONE,NONE
IS1004b.A.argumentstructs.Rutger.10,A,1863.82,1873.79,"Well, because they have teletext on it. Th th you have a teletext sin signal that you can that you can uh that you can get thr through the channel.",IS1004b.D.argumentstructs.Rutger.11,"IS1004b.D.argumentstructs.Rutger.13, IS1004b.A.argumentstructs.Rutger.11"
IS1004b.D.argumentstructs.21,D,1864.87,1865.16,the n,NONE,NONE
IS1004b.D.argumentstructs.Rutger.13,D,1872.05,1875.66,Yeah but yeah most of the T_V_s have teletext nowadays.,IS1004b.A.argumentstructs.Rutger.10,NONE
IS1004b.A.argumentstructs.Rutger.11,A,1876.04,1887.72,"They have t most of them have teletext, but we want to get rid  well one of our requirements is to uh to move to teletext to uh to the use of internet. So to to uh",IS1004b.A.argumentstructs.Rutger.10,"IS1004b.D.argumentstructs.Rutger.14, IS1004b.B.argumentstructs.Rutger.10, IS1004b.A.argumentstructs.Rutger.12"
IS1004b.D.argumentstructs.Rutger.14,D,1877.43,1877.71,Yeah.,IS1004b.A.argumentstructs.Rutger.11,NONE
IS1004b.B.argumentstructs.Rutger.10,B,1888.85,1891.66,You can get a lot more information on it.,IS1004b.A.argumentstructs.Rutger.11,NONE
IS1004b.A.argumentstructs.21,A,1889.86,1891.96,to browse more easily the teletext.,NONE,NONE
IS1004b.A.argumentstructs.Rutger.12,A,1892.96,1895.73,For instance through uh through your remote control.,IS1004b.A.argumentstructs.Rutger.11,NONE
IS1004b.D.argumentstructs.Rutger.15,D,1897.38,1900.41,So what would what would appear in the in the L_C_D_ ?,IS1004b.D.argumentstructs.Rutger.11,"IS1004b.B.argumentstructs.Rutger.11, IS1004b.B.argumentstructs.Rutger.12"
IS1004b.B.argumentstructs.Rutger.11,B,1902.29,1907.16,"So you could have the name of the programme, you could have um the start time you know where it's up to.",IS1004b.D.argumentstructs.Rutger.15,IS1004b.A.argumentstructs.Rutger.13
IS1004b.A.argumentstructs.Rutger.13,A,1905.0,1909.75,"The ti the start time, all the p all the programmes you could have uh  o",IS1004b.B.argumentstructs.Rutger.11,NONE
IS1004b.B.argumentstructs.Rutger.12,B,1908.88,1918.547,You could have a l even a little image of you know the c you know the the m the main actors or something so you can quickly just kind of  even without reading,IS1004b.D.argumentstructs.Rutger.15,"IS1004b.D.argumentstructs.Rutger.16, IS1004b.A.argumentstructs.Rutger.14, IS1004b.A.argumentstructs.Rutger.16"
IS1004b.D.argumentstructs.Rutger.16,D,1912.84,1913.23,Okay.,IS1004b.B.argumentstructs.Rutger.12,NONE
IS1004b.A.argumentstructs.Rutger.14,A,1917.62,1920.93,"Well I don't know if this information is available from teletext, also.",IS1004b.B.argumentstructs.Rutger.12,IS1004b.B.argumentstructs.Rutger.13
IS1004b.B.argumentstructs.Rutger.13,B,1921.41,1928.49,"Well no, but there are the electronic programme guides out there. They may not have pictures, but maybe they do. There's  dependi it also depends on the country.",IS1004b.A.argumentstructs.Rutger.14,"IS1004b.A.argumentstructs.Rutger.15, IS1004b.B.argumentstructs.Rutger.14"
IS1004b.C.argumentstructs.3,C,1924.14,1924.36,Are,NONE,NONE
IS1004b.A.argumentstructs.22,A,1928.53,1930.06,for the same reason that we cannot,NONE,NONE
IS1004b.A.argumentstructs.Rutger.15,A,1931.52,1938.35,uh  informations on the T_V_. We c we couldn't grab information information which is not there.,IS1004b.B.argumentstructs.Rutger.13,NONE
IS1004b.B.argumentstructs.Rutger.14,B,1939.62,1947.6,No but I mean with the internet you have flexibility of where you get your information from. So it may be possible that there are people out there providing that. Uh.,IS1004b.B.argumentstructs.Rutger.13,NONE
IS1004b.A.argumentstructs.Rutger.16,A,1945.04,1956.129,"So  so that mean w w we need an in an extra internet connection to use the remote control, if you want to browse, in addition to the T_V_, or uh or it should be a special T_V_ connected to",IS1004b.B.argumentstructs.Rutger.12,"IS1004b.D.argumentstructs.Rutger.17, IS1004b.B.argumentstructs.Rutger.15"
IS1004b.D.argumentstructs.22,D,1946.25,1946.51,But,NONE,NONE
IS1004b.D.argumentstructs.Rutger.17,D,1951.2,1951.53,Yeah.,IS1004b.A.argumentstructs.Rutger.16,NONE
IS1004b.B.argumentstructs.Rutger.15,B,1955.14,1967.57,"Well I I think if we're gonna  I think we would definitely need the internet connection because even with y I don't think you could even get teletext information from the T_V_ onto the remote control, especially if we don't control the T_V_. I dunno. We need to find that out.",IS1004b.A.argumentstructs.Rutger.16,NONE
