ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007d.D.argumentstructs.24,D,698.8,708.42,Um criteria six. R_S_I_ is it good against ? Yes. Very good. It's one.,NONE,NONE
ES2007d.B.argumentstructs.14,B,703.82,706.65,Yes s yeah.,NONE,NONE
ES2007d.A.argumentstructs.14,A,704.53,706.02,So it's anti-R_S_I_.,NONE,NONE
ES2007d.D.argumentstructs.Erik.12,D,708.42,712.19,"And criteria seven, which is the last one, does it get lost ? Is it easy to get lost ?",NONE,"ES2007d.B.argumentstructs.Erik.12, ES2007d.A.argumentstructs.Erik.10, ES2007d.D.argumentstructs.Erik.15, ES2007d.A.argumentstructs.Erik.11"
ES2007d.B.argumentstructs.Erik.12,B,711.33,712.02,It's yellow.,ES2007d.D.argumentstructs.Erik.12,ES2007d.C.argumentstructs.Erik.10
ES2007d.A.argumentstructs.Erik.10,A,712.63,714.45,I don't think it's gonna get lost easily.,ES2007d.D.argumentstructs.Erik.12,ES2007d.D.argumentstructs.Erik.13
ES2007d.C.argumentstructs.Erik.10,C,713.51,714.65,"It is very bright, yeah.",ES2007d.B.argumentstructs.Erik.12,NONE
ES2007d.D.argumentstructs.Erik.13,D,714.93,715.49,No ?,ES2007d.A.argumentstructs.Erik.10,"ES2007d.D.argumentstructs.Erik.14, ES2007d.C.argumentstructs.Erik.11"
ES2007d.D.argumentstructs.Erik.14,D,715.49,716.88,But it is smallish.,ES2007d.D.argumentstructs.Erik.13,NONE
ES2007d.C.argumentstructs.Erik.11,C,718.01,721.71,"It's not the kinda thing that's gonna slip like between a couch cushion or something, you know.",ES2007d.D.argumentstructs.Erik.13,ES2007d.C.argumentstructs.Erik.12
ES2007d.B.argumentstructs.15,B,718.37,752.95,Two. T Mm. Mm.,NONE,NONE
ES2007d.C.argumentstructs.Erik.12,C,724.0,727.06,Maybe it will. Uh.,ES2007d.C.argumentstructs.Erik.11,NONE
ES2007d.D.argumentstructs.Erik.15,D,726.76,729.84,"Mm. I think i it would, could be, could get lost.",ES2007d.D.argumentstructs.Erik.12,ES2007d.C.argumentstructs.Erik.13
ES2007d.C.argumentstructs.Erik.13,C,729.42,730.48,You think it could lost,ES2007d.D.argumentstructs.Erik.15,ES2007d.D.argumentstructs.Erik.16
ES2007d.D.argumentstructs.Erik.16,D,731.17,738.31,"Mm. Yeah. I mean it's not fully it's not fully  like you can't say  I mean, it's not a one, definitely.",ES2007d.C.argumentstructs.Erik.13,NONE
ES2007d.A.argumentstructs.15,A,731.35,733.84,two. I mean it,NONE,NONE
ES2007d.C.argumentstructs.20,C,732.38,732.55,Mm.,NONE,NONE
ES2007d.A.argumentstructs.Erik.11,A,735.62,740.784,"No, I mean I mean, you could still flush it down the toilet theoretically, but",ES2007d.D.argumentstructs.Erik.12,ES2007d.C.argumentstructs.Erik.14
ES2007d.C.argumentstructs.Erik.14,C,738.19,738.39,Okay.,ES2007d.A.argumentstructs.Erik.11,ES2007d.C.argumentstructs.Erik.15
ES2007d.C.argumentstructs.Erik.15,C,740.16,743.64,"Yeah, anything, I mean. Okay. It's bigger than the average mobile, I guess.",ES2007d.C.argumentstructs.Erik.14,"ES2007d.D.argumentstructs.Erik.17, ES2007d.C.argumentstructs.Erik.16"
ES2007d.D.argumentstructs.Erik.17,D,743.97,744.56,Yeah.,ES2007d.C.argumentstructs.Erik.15,NONE
ES2007d.C.argumentstructs.Erik.16,C,745.51,746.32,"But, yeah, it can get lost.",ES2007d.C.argumentstructs.Erik.15,ES2007d.D.argumentstructs.Erik.18
ES2007d.D.argumentstructs.Erik.18,D,746.92,748.19,The mobiles get lost all the time.,ES2007d.C.argumentstructs.Erik.16,"ES2007d.C.argumentstructs.Erik.17, ES2007d.D.argumentstructs.Erik.19"
ES2007d.C.argumentstructs.Erik.17,C,748.53,750.27,"Yeah. Okay, yeah, two is fine.",ES2007d.D.argumentstructs.Erik.18,NONE
ES2007d.D.argumentstructs.Erik.19,D,749.99,754.672,But then you ring 'em and you find them.  So,ES2007d.D.argumentstructs.Erik.18,"ES2007d.C.argumentstructs.Erik.18, ES2007d.A.argumentstructs.Erik.12, ES2007d.D.argumentstructs.Erik.20"
ES2007d.C.argumentstructs.Erik.18,C,752.14,752.98,"Yeah, yeah.",ES2007d.D.argumentstructs.Erik.19,NONE
ES2007d.A.argumentstructs.Erik.12,A,755.07,755.52,Okay.,ES2007d.D.argumentstructs.Erik.19,NONE
ES2007d.D.argumentstructs.Erik.20,D,755.67,757.09,"Yeah. So, that's that.",ES2007d.D.argumentstructs.Erik.19,NONE
