ae_id,speaker,start_time,end_time,sentence,source,targets
TS3003b.D.argumentstructs.Daan.4,D,1174.94,1177.96,So is there any discussion possible about the new product requirement ?,NONE,"TS3003b.A.argumentstructs.Daan.2, TS3003b.A.argumentstructs.Daan.4"
TS3003b.A.argumentstructs.Daan.2,A,1176.329,1190.033,Uh we can see if we can find a way uh between the functions we wanna use and the market we wanna reach with our product. Um,TS3003b.D.argumentstructs.Daan.4,TS3003b.D.argumentstructs.Daan.6
TS3003b.D.argumentstructs.Daan.6,D,1189.34,1212.78,"Yeah 'cause you're you're saying that teletext is gonna be an old feature and it's not gonna be used anymore anyway pretty soon. And new T_V_s will have internet access on them. But I think if you're targeting people of forty plus, the chance that they will have a T_V_ with internet access within the next like twenty years is very slim.",TS3003b.A.argumentstructs.Daan.2,TS3003b.D.argumentstructs.Daan.7
TS3003b.D.argumentstructs.Daan.7,D,1214.14,1225.43,In addition people indicated that teletext simply was an important feature for the remote control. So I think it's pretty dumb to put no teletext feature on it.,TS3003b.D.argumentstructs.Daan.6,"TS3003b.D.argumentstructs.Daan.8, TS3003b.D.argumentstructs.Daan.10"
TS3003b.D.argumentstructs.Daan.8,D,1227.37,1228.4,I'm pretty much against it.,TS3003b.D.argumentstructs.Daan.7,TS3003b.A.argumentstructs.Daan.3
TS3003b.A.argumentstructs.Daan.3,A,1229.56,1230.91,Against the no teletext ?,TS3003b.D.argumentstructs.Daan.8,TS3003b.D.argumentstructs.Daan.9
TS3003b.D.argumentstructs.Daan.9,D,1230.95,1233.039,Yes.,TS3003b.A.argumentstructs.Daan.3,NONE
TS3003b.D.argumentstructs.Daan.10,D,1235.33,1240.63,"Besides that, I think the market for forty plus is like pretty small.",TS3003b.D.argumentstructs.Daan.7,NONE
TS3003b.D.argumentstructs.24,D,1246.42,1256.38,I think we're just gonna go for another pretty and not innovative remote control.,NONE,NONE
TS3003b.A.argumentstructs.21,A,1249.59,1253.84,Standard remote. No I think we can,NONE,NONE
TS3003b.A.argumentstructs.Daan.4,A,1255.51,1275.77,"I think we can do a lot with the design and the simple buttons which were also mentioned. Uh if we put a lot of effort in those, we can make a remote control with uh just two or three buttons. Or just a remote which is suitable for the market we wanna reach because it is forty percent of the market",TS3003b.D.argumentstructs.Daan.4,TS3003b.A.argumentstructs.Daan.5
TS3003b.A.argumentstructs.22,A,1275.77,1275.77,.,NONE,NONE
TS3003b.A.argumentstructs.Daan.5,A,1276.61,1289.92,"And um if you look in Holland at the whole generation of forty plus, fifty plus, it it's the the biggest share of the of the whole population now.",TS3003b.A.argumentstructs.Daan.4,"TS3003b.D.argumentstructs.Daan.11, TS3003b.D.argumentstructs.Daan.12, TS3003b.A.argumentstructs.Daan.6"
TS3003b.D.argumentstructs.Daan.11,D,1291.04,1294.57,Yes but it's not the biggest part of the market.,TS3003b.A.argumentstructs.Daan.5,NONE
TS3003b.A.argumentstructs.23,A,1295.49,1295.85,No.,NONE,NONE
TS3003b.D.argumentstructs.Daan.12,D,1295.58,1306.88,"And besides that, they're not very critical so  I mean they don't really care what the remote control is like. They'll just pretty much take the first thing they see and which looks acceptable.",TS3003b.A.argumentstructs.Daan.5,NONE
TS3003b.A.argumentstructs.Daan.6,A,1308.73,1326.04,"But don't you think that if we make a remote which is uh typically made for this market, that people think   the people think that's the the device I've looked for although I didn't realise it. So let's try it.",TS3003b.A.argumentstructs.Daan.5,"TS3003b.D.argumentstructs.Daan.13, TS3003b.C.argumentstructs.Daan.4"
TS3003b.D.argumentstructs.Daan.13,D,1326.95,1349.76,"No. I think that would be the case in the sixteen to forty five age category. because they are critical and they they want to have a fancy remote control. People of forty plus, I mean they want it to work, but as soo as soon as it works it's okay with them.",TS3003b.A.argumentstructs.Daan.6,NONE
TS3003b.B.argumentstructs.6,B,1340.71,1372.64,Yeah. Mm. Mm.,NONE,NONE
TS3003b.A.argumentstructs.24,A,1351.65,1352.06,Yeah.,NONE,NONE
