ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007c.D.argumentstructs.32,D,1440.03,1445.84,"and um when it comes to marketing like that's what people go for, they don't really care whether, you know,",NONE,NONE
ES2007c.D.argumentstructs.Erik.9,D,1447.02,1449.86,at the end of the day whether it works properly or not.,NONE,"ES2007c.A.argumentstructs.Erik.14, ES2007c.D.argumentstructs.Erik.11, ES2007c.A.argumentstructs.Erik.15"
ES2007c.A.argumentstructs.Erik.14,A,1450.29,1456.32,"Of course, they do.  One hundred per cent, that's your first thing, you go, oh I'm not gonna buy that, 'cause I dunno if it works or not.",ES2007c.D.argumentstructs.Erik.9,ES2007c.D.argumentstructs.Erik.10
ES2007c.D.argumentstructs.Erik.10,D,1451.07,1453.1,"Well, they do, but it's like it's not",ES2007c.A.argumentstructs.Erik.14,NONE
ES2007c.D.argumentstructs.Erik.11,D,1456.39,1463.216,"Yeah, but it looks good. If it looks good and it's  it can just be there for decoration.",ES2007c.D.argumentstructs.Erik.9,NONE
ES2007c.A.argumentstructs.Erik.15,A,1463.16,1467.03,"Okay, well, what do you two think about this ?",ES2007c.D.argumentstructs.Erik.9,ES2007c.C.argumentstructs.Erik.10
ES2007c.C.argumentstructs.21,C,1467.22,1470.86,So is is the advantage of Bluetooth that you can just like synchronise it with other,NONE,NONE
ES2007c.D.argumentstructs.33,D,1468.12,1468.6,But like,NONE,NONE
ES2007c.C.argumentstructs.Erik.10,C,1471.63,1472.46,electronics ?,ES2007c.A.argumentstructs.Erik.15,"ES2007c.A.argumentstructs.Erik.16, ES2007c.D.argumentstructs.Erik.12"
ES2007c.A.argumentstructs.Erik.16,A,1471.7,1473.89,"Yeah, what  I don't understand what m",ES2007c.C.argumentstructs.Erik.10,NONE
ES2007c.D.argumentstructs.Erik.12,D,1473.1,1474.47,"You could always insert, yeah.",ES2007c.C.argumentstructs.Erik.10,ES2007c.C.argumentstructs.Erik.11
ES2007c.C.argumentstructs.Erik.11,C,1475.12,1476.69,"Yeah, that's basically what it allows you to do, right ?",ES2007c.D.argumentstructs.Erik.12,ES2007c.A.argumentstructs.Erik.17
ES2007c.A.argumentstructs.Erik.17,A,1477.0,1482.01,"Yeah, and it  this is just gonna   all this is being used for is your television.",ES2007c.C.argumentstructs.Erik.11,"ES2007c.D.argumentstructs.Erik.13, ES2007c.A.argumentstructs.Erik.18"
ES2007c.D.argumentstructs.Erik.13,D,1483.17,1485.988,"Yeah, but, I mean, people like",ES2007c.A.argumentstructs.Erik.17,NONE
ES2007c.A.argumentstructs.Erik.18,A,1485.27,1491.21,"It would  that would mean you'd need a television that has Bluetooth in it, which no no television does, does it ?",ES2007c.A.argumentstructs.Erik.17,ES2007c.D.argumentstructs.Erik.14
ES2007c.D.argumentstructs.Erik.14,D,1489.41,1500.64,"Well, if you're looking at   if you  looking at something that's going to be bought by people, you have to make it new, you have to make it state of the art.",ES2007c.A.argumentstructs.Erik.18,"ES2007c.A.argumentstructs.Erik.19, ES2007c.B.argumentstructs.Erik.14, ES2007c.A.argumentstructs.Erik.21, ES2007c.D.argumentstructs.Erik.15"
ES2007c.B.argumentstructs.29,B,1489.96,1490.32,Well,NONE,NONE
ES2007c.A.argumentstructs.Erik.19,A,1498.95,1501.33,That would mean we'd have to make a television as well.,ES2007c.D.argumentstructs.Erik.14,NONE
ES2007c.B.argumentstructs.Erik.14,B,1503.52,1517.46,"Bluetooth would, for example, enable you, I think, to um um connect  for example you if you get a w call on your mobile phone, but your mobile phone is downstairs or something, you would get on your television you're being called by this person right now.",ES2007c.D.argumentstructs.Erik.14,ES2007c.A.argumentstructs.Erik.20
ES2007c.B.argumentstructs.30,B,1518.52,1524.1,Things like that. No i,NONE,NONE
ES2007c.A.argumentstructs.Erik.20,A,1519.19,1523.01,"No, that would be your telephone  in with your television.",ES2007c.B.argumentstructs.Erik.14,ES2007c.C.argumentstructs.Erik.12
ES2007c.C.argumentstructs.Erik.12,C,1522.98,1525.648,"Yeah, the  that wouldn't be the remote so much, I mean",ES2007c.A.argumentstructs.Erik.20,ES2007c.B.argumentstructs.Erik.15
ES2007c.A.argumentstructs.36,A,1524.88,1525.97,"Yeah, and i",NONE,NONE
ES2007c.B.argumentstructs.Erik.15,B,1525.67,1529.696,"No, but if you get Bluetooth on the remote, you'd be able to",ES2007c.C.argumentstructs.Erik.12,NONE
ES2007c.A.argumentstructs.Erik.21,A,1530.25,1539.52,"Nah, the televi the television would have to be a Bluetooth compatible, basically. An and there is no there is no such thing.",ES2007c.D.argumentstructs.Erik.14,ES2007c.B.argumentstructs.Erik.16
ES2007c.B.argumentstructs.Erik.16,B,1531.2,1538.832,"I with the television, yeah.  I was just trying to find an advantage. Wha what w what advantage would you get for the",ES2007c.A.argumentstructs.Erik.21,NONE
ES2007c.C.argumentstructs.22,C,1535.89,1536.11,Mm.,NONE,NONE
ES2007c.D.argumentstructs.34,D,1556.5,1567.79,"but I think we are really keeping to what is already out there, and people've already seen it, people've already got it. If we want something new, we need to move away from what we already have",NONE,NONE
ES2007c.A.argumentstructs.Erik.22,A,1564.03,1564.41,Okay.,ES2007c.D.argumentstructs.Erik.15,NONE
ES2007c.D.argumentstructs.Erik.15,D,1569.16,1572.19,and um just go creative.,ES2007c.D.argumentstructs.Erik.14,ES2007c.A.argumentstructs.Erik.22
