ae_id,speaker,start_time,end_time,sentence,source,targets
ES2003c.C.argumentstructs.Erik.4,C,1629.03,1643.34,"S oh, I was gonna talk about the programmable remote control. Now I think it'd be cool if you had one remote control that could work with all T_V_s, you know you s you click a button and it finds the frequency that works with your particular television.",NONE,"ES2003c.C.argumentstructs.Erik.5, ES2003c.A.argumentstructs.Erik.2"
ES2003c.A.argumentstructs.28,A,1643.05,1643.38,Mm-hmm.,NONE,NONE
ES2003c.C.argumentstructs.Erik.5,C,1643.34,1647.7,"But why you'd need to program it like as as a standard feature, I I don't know.",ES2003c.C.argumentstructs.Erik.4,NONE
ES2003c.A.argumentstructs.Erik.2,A,1647.8,1661.96,Well basi  basically the um for  f for uh  I mean e each manufacturer will have a partic  will have a particular command set that uh the T_V_ responds to. It's not simply a matter of frequency.,ES2003c.C.argumentstructs.Erik.4,"ES2003c.C.argumentstructs.Erik.6, ES2003c.A.argumentstructs.Erik.4"
ES2003c.B.argumentstructs.22,B,1658.64,1659.18,Mm-hmm.,NONE,NONE
ES2003c.C.argumentstructs.Erik.6,C,1659.92,1660.15,Yeah.,ES2003c.A.argumentstructs.Erik.2,NONE
ES2003c.A.argumentstructs.29,A,1661.96,1663.61,So um,NONE,NONE
ES2003c.A.argumentstructs.Erik.4,A,1665.01,1688.76,"usually what's done is you have this big booklet full of different possi  you'll have all of them sort of programmed in to the uh remote, and you'll have this little booklet of codes you then find your um ma uh find your manufacturer and try the different codes that come under that manufacturer's name 'til you find the right one.",ES2003c.A.argumentstructs.Erik.2,"ES2003c.C.argumentstructs.Erik.7, ES2003c.A.argumentstructs.Erik.7, ES2003c.B.argumentstructs.Erik.7, ES2003c.C.argumentstructs.Erik.8, ES2003c.C.argumentstructs.Erik.9"
ES2003c.C.argumentstructs.29,C,1677.26,1685.27,Mm-hmm. Mm-hmm.,NONE,NONE
ES2003c.C.argumentstructs.Erik.7,C,1688.63,1693.89,"That's because televisions, they don't give the remote control any type of feedback when you send it. Okay.",ES2003c.A.argumentstructs.Erik.4,ES2003c.A.argumentstructs.Erik.5
ES2003c.A.argumentstructs.30,A,1688.76,1689.11,It's,NONE,NONE
ES2003c.A.argumentstructs.Erik.5,A,1692.98,1694.31,"Yeah, that's right.",ES2003c.C.argumentstructs.Erik.7,NONE
ES2003c.A.argumentstructs.Erik.7,A,1694.31,1711.59,"So that's that's quite annoying and we probably would still have to do that. But if we had um some sort of hook-up to your computer as an option, then if you've got a computer you can avoid that rather irritating thing.",ES2003c.A.argumentstructs.Erik.4,NONE
ES2003c.B.argumentstructs.Erik.7,B,1711.57,1738.73,"An interesting point is that if the person doesn't have the computer, we can still make the process easier because instead of having to look up codes, maybe we can have it that one of the options they have is that they look up the name of the company on the L_C_D_ and then they maybe look up different names of um  different actual units that have been produced. Or we have the remote control just go through them until it's like does this do the correct function, and such.",ES2003c.A.argumentstructs.Erik.4,ES2003c.A.argumentstructs.Erik.8
ES2003c.A.argumentstructs.Erik.8,A,1726.19,1726.5,Yeah,ES2003c.B.argumentstructs.Erik.7,NONE
ES2003c.A.argumentstructs.31,A,1726.5,1729.17,. Yeah.,NONE,NONE
ES2003c.C.argumentstructs.Erik.8,C,1738.91,1743.7,"Is it is it actually a book of names to digits, or is it like a few pages ?",ES2003c.A.argumentstructs.Erik.4,ES2003c.A.argumentstructs.Erik.9
ES2003c.A.argumentstructs.Erik.9,A,1743.87,1746.94,Um booklet.  Some pages.,ES2003c.C.argumentstructs.Erik.8,NONE
ES2003c.C.argumentstructs.Erik.9,C,1747.12,1750.57,"I was just thinking, if we were to store this information, some type of mapping.",ES2003c.A.argumentstructs.Erik.4,ES2003c.C.argumentstructs.Erik.10
ES2003c.C.argumentstructs.Erik.10,C,1751.81,1758.32,"This person probably need to use this feature like once, you know, when you first buy the remote control, or whenever they buy a new television",ES2003c.C.argumentstructs.Erik.9,"ES2003c.A.argumentstructs.Erik.10, ES2003c.B.argumentstructs.Erik.8, ES2003c.A.argumentstructs.Erik.11"
ES2003c.C.argumentstructs.30,C,1758.32,1760.43,", so once every s",NONE,NONE
ES2003c.A.argumentstructs.Erik.10,A,1759.26,1759.66,Yeah.,ES2003c.C.argumentstructs.Erik.10,NONE
ES2003c.B.argumentstructs.Erik.8,B,1759.44,1761.82,"Doesn't have to be used very often that's right, yeah.",ES2003c.C.argumentstructs.Erik.10,ES2003c.C.argumentstructs.Erik.11
ES2003c.C.argumentstructs.Erik.11,C,1761.38,1762.68,"Yeah, and it's",ES2003c.B.argumentstructs.Erik.8,NONE
ES2003c.A.argumentstructs.Erik.11,A,1761.92,1786.03,"Yeah. But it's a but it's a nuisance. And it's a nuisance very close to the to um to actually purchasing it, so it's something that you're likely to be thinking about.  If you  if there's w i if there's one in the shop that's  that says it can avoid much of that nuisance, you might be favourably inclined towards it. Um mm.",ES2003c.C.argumentstructs.Erik.10,ES2003c.C.argumentstructs.Erik.12
ES2003c.C.argumentstructs.Erik.12,C,1769.89,1770.04,Mm.,ES2003c.A.argumentstructs.Erik.11,NONE
ES2003c.C.argumentstructs.31,C,1780.27,1780.48,Mm.,NONE,NONE
