ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004a.C.argumentstructs.Daan.5,C,1019.04,1028.878,And uh how about the batteries ? Uh should you put it in a recharger or a  just,NONE,TS3004a.A.argumentstructs.Daan.6
TS3004a.D.argumentstructs.10,D,1020.99,1021.99,Um,NONE,NONE
TS3004a.A.argumentstructs.Daan.6,A,1027.87,1033.14,"Oh maybe that's a good idea, just to put it on your television and just s recharge, you never have to use any batteries.",TS3004a.C.argumentstructs.Daan.5,"TS3004a.D.argumentstructs.Daan.5, TS3004a.B.argumentstructs.Daan.3, TS3004a.A.argumentstructs.Daan.8, TS3004a.B.argumentstructs.Daan.5"
TS3004a.D.argumentstructs.Daan.5,D,1027.98,1029.85,Ma maybe a home station.,TS3004a.A.argumentstructs.Daan.6,NONE
TS3004a.B.argumentstructs.8,B,1029.51,1029.9,Yeah.,NONE,NONE
TS3004a.C.argumentstructs.8,C,1031.21,1038.78,"Mm yeah. Yeah, I dunno.",NONE,NONE
TS3004a.B.argumentstructs.Daan.3,B,1032.55,1036.04,"Maybe that's a good idea, but yeah, we have to look at the price now I think.",TS3004a.A.argumentstructs.Daan.6,TS3004a.A.argumentstructs.Daan.7
TS3004a.A.argumentstructs.Daan.7,A,1036.66,1039.79,"Yeah, how m how mu how how expensive uh is a normal recharger ?",TS3004a.B.argumentstructs.Daan.3,TS3004a.B.argumentstructs.Daan.4
TS3004a.D.argumentstructs.11,D,1036.93,1048.95,Yeah. Ah yeah.,NONE,NONE
TS3004a.B.argumentstructs.Daan.4,B,1039.16,1044.46,Well uh how much is your uh standards uh mobile phone recharger ?,TS3004a.A.argumentstructs.Daan.7,TS3004a.C.argumentstructs.Daan.6
TS3004a.A.argumentstructs.12,A,1045.05,1045.44,I dunno.,NONE,NONE
TS3004a.C.argumentstructs.Daan.6,C,1046.08,1055.23,"Yeah, if you buy it uh separately from your phone it's probably expensive, but I don't know what the project uh projection costs are for such a thing.",TS3004a.B.argumentstructs.Daan.4,NONE
TS3004a.A.argumentstructs.Daan.8,A,1054.86,1060.43,"Uh if you th look at the market, it's probably  it's still the best way just to put batteries in it, because maybe it's too expensive.",TS3004a.A.argumentstructs.Daan.6,TS3004a.D.argumentstructs.Daan.6
TS3004a.C.argumentstructs.9,C,1060.69,1072.73,Yeah. Yeah.,NONE,NONE
TS3004a.D.argumentstructs.Daan.6,D,1060.99,1073.408,"Yeah, but a home station is uh a really good idea, because uh lots of people are  uh lose their remote control and don't know where it is, and now you can put it always at the same place. Maybe it's",TS3004a.A.argumentstructs.Daan.8,"TS3004a.A.argumentstructs.Daan.9, TS3004a.D.argumentstructs.Daan.7"
TS3004a.A.argumentstructs.Daan.9,A,1070.2,1071.63,"Yeah, that's right, yeah.",TS3004a.D.argumentstructs.Daan.6,NONE
TS3004a.B.argumentstructs.9,B,1071.6,1071.8,Yeah.,NONE,NONE
TS3004a.D.argumentstructs.Daan.7,D,1074.62,1077.28,"Therefore it's a good idea, but maybe it's expensive.",TS3004a.D.argumentstructs.Daan.6,NONE
TS3004a.B.argumentstructs.Daan.5,B,1078.09,1082.28,Maybe uh use it as a separate option. Sell it uh separately.,TS3004a.A.argumentstructs.Daan.6,"TS3004a.D.argumentstructs.Daan.8, TS3004a.C.argumentstructs.Daan.7, TS3004a.A.argumentstructs.Daan.10"
TS3004a.D.argumentstructs.12,D,1080.59,1080.93,Yeah.,NONE,NONE
TS3004a.D.argumentstructs.Daan.8,D,1082.0,1083.9,"You can  yeah, you can buy it with it.",TS3004a.B.argumentstructs.Daan.5,NONE
TS3004a.C.argumentstructs.Daan.7,C,1083.55,1097.28,"Yeah, but I have a mouse that's uh uh also uh  Yeah, and and you just have normal batteries that you can recharge and just put it in the station, or you can change your batteries, so.",TS3004a.B.argumentstructs.Daan.5,NONE
TS3004a.B.argumentstructs.10,B,1088.59,1094.0,Rechargeable. Yeah.,NONE,NONE
TS3004a.D.argumentstructs.13,D,1096.25,1096.6,Oh yeah.,NONE,NONE
TS3004a.A.argumentstructs.Daan.10,A,1097.56,1099.31,"The option, just the option, that's cool.",TS3004a.B.argumentstructs.Daan.5,NONE
TS3004a.C.argumentstructs.10,C,1098.91,1099.2,Yeah.,NONE,NONE
