ae_id,speaker,start_time,end_time,sentence,source,targets
TS3005c.A.argumentstructs.Daan.1,A,1437.95,1455.65,"energy question mark. How how should we uh supply the thing with energy and how  are we going to do it with separate docking station and then put  in it. Uh chip on print and case. Those are points my uh coach advised me to discuss here, but I hope you have ideas about them.",NONE,"TS3005c.B.argumentstructs.Daan.1, TS3005c.A.argumentstructs.Daan.2"
TS3005c.B.argumentstructs.Daan.1,B,1455.92,1460.04,I think energy were batteries and then uh and uh  Yeah.,TS3005c.A.argumentstructs.Daan.1,"TS3005c.C.argumentstructs.Daan.1, TS3005c.D.argumentstructs.Daan.1, TS3005c.B.argumentstructs.Daan.3"
TS3005c.C.argumentstructs.Daan.1,C,1458.77,1459.66,The docking station.,TS3005c.B.argumentstructs.Daan.1,NONE
TS3005c.A.argumentstructs.Daan.2,A,1461.26,1465.25,Yeah. So that's the the the first point. We already decided that on the previous meeting.,TS3005c.A.argumentstructs.Daan.1,NONE
TS3005c.D.argumentstructs.Daan.1,D,1461.91,1468.07,Maybe it's better to to include rechargeable batteries which you can recharge through the docking station.,TS3005c.B.argumentstructs.Daan.1,"TS3005c.B.argumentstructs.Daan.2, TS3005c.D.argumentstructs.Daan.2, TS3005c.C.argumentstructs.Daan.2"
TS3005c.B.argumentstructs.15,B,1465.54,1467.19,Yeah. Yeah.,NONE,NONE
TS3005c.B.argumentstructs.Daan.2,B,1468.76,1470.81,Yeah. Just like with the telephone.,TS3005c.D.argumentstructs.Daan.1,NONE
TS3005c.D.argumentstructs.Daan.2,D,1469.01,1473.49,So if the badg the batteries are dead then you can re you can uh change them.,TS3005c.D.argumentstructs.Daan.1,NONE
TS3005c.A.argumentstructs.19,A,1469.04,1469.15,Mm-hmm.,NONE,NONE
TS3005c.C.argumentstructs.26,C,1469.24,1472.75,Yeah. I kinda like your,NONE,NONE
TS3005c.C.argumentstructs.Daan.2,C,1473.85,1481.15,Yeah you got some uh some of those uh uh wireless uh mice ? Mouse. Computer mouse.,TS3005c.D.argumentstructs.Daan.1,"TS3005c.D.argumentstructs.Daan.3, TS3005c.C.argumentstructs.Daan.3"
TS3005c.D.argumentstructs.Daan.3,D,1479.52,1481.19,Yeah yeah yeah like those.,TS3005c.C.argumentstructs.Daan.2,NONE
TS3005c.C.argumentstructs.Daan.3,C,1482.55,1484.58,Kinda like those kind of batteries.,TS3005c.C.argumentstructs.Daan.2,NONE
TS3005c.D.argumentstructs.27,D,1483.98,1484.11,Yep.,NONE,NONE
TS3005c.B.argumentstructs.Daan.3,B,1484.32,1489.28,"but it should be th I think normal batteries, not not like two or two uh",TS3005c.B.argumentstructs.Daan.1,"TS3005c.D.argumentstructs.Daan.4, TS3005c.A.argumentstructs.Daan.3"
TS3005c.D.argumentstructs.Daan.4,D,1487.08,1493.42,"Yeah, normal plain you  No normal plain batteries you can buy at the supermarket or retail shop. Yeah.",TS3005c.B.argumentstructs.Daan.3,NONE
TS3005c.B.argumentstructs.16,B,1490.38,1493.73,Yeah. Yeah.,NONE,NONE
TS3005c.C.argumentstructs.27,C,1491.8,1492.42,Yeah.,NONE,NONE
TS3005c.A.argumentstructs.Daan.3,A,1492.22,1494.16,Simple rechargeable uh batteries.,TS3005c.B.argumentstructs.Daan.3,NONE
