ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002c.B.argumentstructs.35,B,1758.34,1759.57,I know.,NONE,NONE
ES2002c.B.argumentstructs.Erik.18,B,1759.57,1771.472,"Um unless an a I mean if you  also would that work if we wanted to incorporate um an L_C_D_ display, where would we put that ? Would we put that on the inside or",NONE,ES2002c.A.argumentstructs.Erik.9
ES2002c.C.argumentstructs.5,C,1772.8,1773.31,Um,NONE,NONE
ES2002c.A.argumentstructs.Erik.9,A,1773.29,1774.99,Do we need an L_C_D_ display ?,ES2002c.B.argumentstructs.Erik.18,"ES2002c.A.argumentstructs.Erik.10, ES2002c.B.argumentstructs.Erik.19, ES2002c.D.argumentstructs.Erik.17"
ES2002c.A.argumentstructs.Erik.10,A,1774.99,1777.12,What what's the functionality of that ?,ES2002c.A.argumentstructs.Erik.9,NONE
ES2002c.B.argumentstructs.Erik.19,B,1776.61,1780.31,"It's bound to increase the cost of it a lot, I would've thought.",ES2002c.A.argumentstructs.Erik.9,ES2002c.A.argumentstructs.Erik.11
ES2002c.A.argumentstructs.Erik.11,A,1779.2,1787.2,Yeah but the question is what are we using it  what would we what would we achieve from it ? Putting in lights is cheap but putting in an L_C_D_ panel just to make it glow is a bit of a,ES2002c.B.argumentstructs.Erik.19,NONE
ES2002c.D.argumentstructs.Erik.17,D,1780.25,1780.99,What would it achieve ?,ES2002c.A.argumentstructs.Erik.9,ES2002c.D.argumentstructs.Erik.18
ES2002c.D.argumentstructs.33,D,1783.29,1783.57,Well,NONE,NONE
ES2002c.D.argumentstructs.Erik.18,D,1785.21,1802.36,"L_C_ well I'd  when you used to mention the L_C_D_ I'd think I wonder what that would be about. And the th the thing I could see it helping with would be if it was somehow connected with um listings. So as you scroll through, 'cause we said we might have a jog dial, so as you scroll through your stations you can y it actually tells you what it is.",ES2002c.D.argumentstructs.Erik.17,"ES2002c.B.argumentstructs.Erik.20, ES2002c.A.argumentstructs.Erik.12"
ES2002c.B.argumentstructs.Erik.20,B,1795.0,1795.47,Yeah.,ES2002c.D.argumentstructs.Erik.18,NONE
ES2002c.A.argumentstructs.19,A,1797.93,1798.33,Mm-hmm.,NONE,NONE
ES2002c.A.argumentstructs.Erik.12,A,1802.2,1812.3,"I think that will be a problem because we don't have an input device to get the listings into it, so um it's a bit nuts to get the  Monday Tuesday Wednesday you know.",ES2002c.D.argumentstructs.Erik.18,"ES2002c.D.argumentstructs.Erik.19, ES2002c.B.argumentstructs.Erik.21, ES2002c.B.argumentstructs.Erik.22"
ES2002c.D.argumentstructs.Erik.19,D,1806.57,1807.2,"Right, okay",ES2002c.A.argumentstructs.Erik.12,NONE
ES2002c.B.argumentstructs.Erik.21,B,1807.2,1808.76,Mm oh yeah that's true.,ES2002c.A.argumentstructs.Erik.12,NONE
ES2002c.D.argumentstructs.34,D,1807.2,1812.43,. Mm-hmm. Mm-hmm.,NONE,NONE
ES2002c.B.argumentstructs.36,B,1809.38,1809.86,Yeah.,NONE,NONE
ES2002c.B.argumentstructs.Erik.22,B,1810.68,1813.7,So so no need for an L_C_D_ display ?,ES2002c.A.argumentstructs.Erik.12,ES2002c.A.argumentstructs.Erik.13
ES2002c.A.argumentstructs.Erik.13,A,1813.49,1836.47,"Um I I'm not saying there's no need for an L_C_D_ display, but um it's  what's what what would it tell the user, 'cause the L_C_D_ tends to be an output as uh as opposed to an input so um does the remote control need to talk back to the user ? We have the option of the speaker as well  the sa the same thing goes for the speaker, is there a need for the remote control to to talk back ?",ES2002c.B.argumentstructs.Erik.22,NONE
