ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004b.B.argumentstructs.Erik.25,B,2031.5,2066.45,"Um, things that are associated with the company in view to trying to incorporate that into the design of the product. I mean for example, if it was a C_ or something like that, you could have it in a vague C_ shape that opens up kind of like a shell, or something, um something along those lines to be able to incorporate it quite um obviously into the design, while also making it quite different from anything else that's there.",NONE,"ES2004b.A.argumentstructs.Erik.9, ES2004b.D.argumentstructs.Erik.15, ES2004b.A.argumentstructs.Erik.10, ES2004b.D.argumentstructs.Erik.16, ES2004b.B.argumentstructs.Erik.27, ES2004b.A.argumentstructs.Erik.13"
ES2004b.A.argumentstructs.21,A,2040.43,2052.9,Current. Mm-hmm. Mm-hmm.,NONE,NONE
ES2004b.A.argumentstructs.Erik.9,A,2067.28,2068.561,We could look in at that but,ES2004b.B.argumentstructs.Erik.25,NONE
ES2004b.D.argumentstructs.Erik.15,D,2067.8,2069.23,I mean look at the mobile.,ES2004b.B.argumentstructs.Erik.25,NONE
ES2004b.C.argumentstructs.39,C,2069.52,2069.9,Mm.,NONE,NONE
ES2004b.A.argumentstructs.22,A,2069.81,2070.96,Mm.,NONE,NONE
ES2004b.A.argumentstructs.Erik.10,A,2070.96,2083.68,"What we were talking is to make it more rather than like sea-shells, logo could become as  you could put a logo in the corner of uh the model, rather than you know, trying to make it like a sea shell or whatever you were ta telling like.",ES2004b.B.argumentstructs.Erik.25,ES2004b.B.argumentstructs.Erik.26
ES2004b.B.argumentstructs.Erik.26,B,2083.41,2085.99,Well we need to think about how it's gonna look different.,ES2004b.A.argumentstructs.Erik.10,NONE
ES2004b.D.argumentstructs.Erik.16,D,2087.03,2121.21,"I think that's   that sounds a really attractive idea, I've not come across anything like that before, if it kind of  yeah and that opens out into your flip-top. Then it's nice t to h you can make it lightweight plastic, nice to hold in the palm of the hand and just because you're having to actually insert in between the two covers, that's gonna take care of some of the repetitive strain injury trying p prevent a lot of that I would think. I think it's a really nice idea and plus you can get   you know even though we're using plastic, you can still  I mean think of the designs you can get in plastic, we can do a nice conch shell or scallop shell exterior.",ES2004b.B.argumentstructs.Erik.25,ES2004b.A.argumentstructs.Erik.11
ES2004b.A.argumentstructs.Erik.11,A,2090.25,2090.98,A sea shell ?,ES2004b.D.argumentstructs.Erik.16,"ES2004b.C.argumentstructs.Erik.26, ES2004b.A.argumentstructs.Erik.12"
ES2004b.C.argumentstructs.Erik.26,C,2095.59,2096.08,Yeah.,ES2004b.A.argumentstructs.Erik.11,NONE
ES2004b.A.argumentstructs.Erik.12,A,2110.55,2111.72,Yeah we could look in at that.,ES2004b.A.argumentstructs.Erik.11,NONE
ES2004b.B.argumentstructs.Erik.27,B,2121.65,2138.671,"Or you could do um different, like you get with mobile phones, different fascias. You could have different kind of casings. So you could have like psychedelic ones for younger people and sleek ones and",ES2004b.B.argumentstructs.Erik.25,"ES2004b.D.argumentstructs.Erik.17, ES2004b.D.argumentstructs.Erik.18"
ES2004b.C.argumentstructs.40,C,2127.45,2127.81,Mm.,NONE,NONE
ES2004b.D.argumentstructs.30,D,2127.8,2128.25,Mm-hmm.,NONE,NONE
ES2004b.D.argumentstructs.Erik.17,D,2130.72,2131.09,Yeah.,ES2004b.B.argumentstructs.Erik.27,NONE
ES2004b.D.argumentstructs.31,D,2133.2,2133.58,Mm-hmm.,NONE,NONE
ES2004b.D.argumentstructs.Erik.18,D,2138.3,2155.53,"Less chance of it being lost too, it's not like a chocolate brown lozenge that's gonna go down the sofa and people might want to put it on their mantelpiece or whatever as a ki if it looks attractive enough as a kind of ornament they don't  not gonna lose it so much  either. It's easier to  bit nice to handle.",ES2004b.B.argumentstructs.Erik.27,ES2004b.B.argumentstructs.Erik.28
ES2004b.B.argumentstructs.Erik.28,B,2142.98,2143.58,Yeah.,ES2004b.D.argumentstructs.Erik.18,NONE
ES2004b.B.argumentstructs.43,B,2153.25,2153.73,Mm.,NONE,NONE
ES2004b.A.argumentstructs.Erik.13,A,2154.55,2161.63,"Yeah maybe we could come at some say five, six des designs and then choose which are  whichever appeals the most like, that could be the most common design.",ES2004b.B.argumentstructs.Erik.25,"ES2004b.B.argumentstructs.Erik.29, ES2004b.C.argumentstructs.Erik.27, ES2004b.D.argumentstructs.Erik.19, ES2004b.A.argumentstructs.Erik.14"
ES2004b.B.argumentstructs.Erik.29,B,2158.76,2159.24,Okay.,ES2004b.A.argumentstructs.Erik.13,NONE
ES2004b.C.argumentstructs.Erik.27,C,2159.39,2159.79,Yeah.,ES2004b.A.argumentstructs.Erik.13,NONE
ES2004b.D.argumentstructs.32,D,2159.41,2159.8,Mm-hmm.,NONE,NONE
ES2004b.B.argumentstructs.44,B,2160.38,2162.91,Okay. Okay.,NONE,NONE
ES2004b.D.argumentstructs.Erik.19,D,2161.98,2162.64,Okay.,ES2004b.A.argumentstructs.Erik.13,NONE
ES2004b.A.argumentstructs.Erik.14,A,2162.83,2164.61,"But we can like think of five, six designs.",ES2004b.A.argumentstructs.Erik.13,NONE
