ae_id,speaker,start_time,end_time,sentence,source,targets
TS3007b.D.argumentstructs.Daan.6,D,1207.35,1219.728,"Hmm  it's maybe an option uh if you use an L_C_D_  or a touch screen um, that in the middle are the the main keys, like displayed on the",NONE,TS3007b.D.argumentstructs.Daan.7
TS3007b.D.argumentstructs.22,D,1223.616,1223.616,.,NONE,NONE
TS3007b.B.argumentstructs.21,B,1223.78,1235.29,. Yeah.,NONE,NONE
TS3007b.D.argumentstructs.Daan.7,D,1224.69,1242.78,"Yeah, this ? No ? Yeah.  Something like that. Okay, just uh in the middle the general functions, like play, uh channel switching, and then uh at the top or at the bottom, some menus like uh settings or  that you can drop down.",TS3007b.D.argumentstructs.Daan.6,TS3007b.B.argumentstructs.Daan.1
TS3007b.B.argumentstructs.Daan.1,B,1242.96,1279.05,"Yeah, but when all the questions I had  Do we want to use uh a menu display on the T_V_ ? Or um does have to f everything uh be in remotes ? 'Cause if you use a memory display on the T_V_, you can simply push uh a more menu and then select the options you want to have and press okay. Uh so that's my recommendation, if you use many options in one buttle  button, um display the menu on the T_V_ and don't um use combination of t of two buttons at the same time or pressing buttons three times for five seconds, is too complicated for most users.",TS3007b.D.argumentstructs.Daan.7,"TS3007b.D.argumentstructs.Daan.8, TS3007b.C.argumentstructs.Daan.5, TS3007b.B.argumentstructs.Daan.3"
TS3007b.D.argumentstructs.23,D,1252.99,1277.54,Mm. Nah. Mm-hmm. Yeah. Yeah.,NONE,NONE
TS3007b.D.argumentstructs.Daan.8,D,1279.09,1298.3,"I think so too, but   and that's partly because um uh a lot of T_V_s have different menus, and when you have a particular menu uh at your device, uh it could be that don't correspond to the menu what's actually on T_V_.",TS3007b.B.argumentstructs.Daan.1,TS3007b.B.argumentstructs.Daan.2
TS3007b.C.argumentstructs.22,C,1279.17,1279.56,"Yeah, but",NONE,NONE
TS3007b.B.argumentstructs.Daan.2,B,1298.29,1299.77,"Yeah, that will be a problem.",TS3007b.D.argumentstructs.Daan.8,NONE
TS3007b.D.argumentstructs.24,D,1299.86,1407.41,Yeah. Yeah.,NONE,NONE
TS3007b.C.argumentstructs.Daan.5,C,1300.19,1318.28,"Well you d you have to  keep in mind that uh several T_V_s uh don't even have a menu structure, or they have a very simple menu structure, so you have to keep in mind that not all uh d not  our remote won't be able to work on all televisions. And that would be uh a considerable problem.",TS3007b.B.argumentstructs.Daan.1,NONE
TS3007b.B.argumentstructs.22,B,1315.3,1315.82,Yes.,NONE,NONE
TS3007b.B.argumentstructs.Daan.3,B,1316.96,1360.7,"So if we have to stick with current technologies and uh um well yeah, the restrictions of what's uh is on the market today, um you should keep it s at this. Use big clear buttons. Not too many. So maybe we'll loose a few option uh options, but I think i this is more important. Um  especially the important buttons, um if you want to switch channel, change your volume, uh use teletext, it uh it has to work at once and more advanced options may be put it s somewhere away on the remote, behind uh a little uh little thing or a touch screen.",TS3007b.B.argumentstructs.Daan.1,"TS3007b.C.argumentstructs.Daan.6, TS3007b.B.argumentstructs.Daan.4, TS3007b.B.argumentstructs.Daan.5, TS3007b.D.argumentstructs.Daan.9"
TS3007b.C.argumentstructs.23,C,1328.6,1355.25,Yeah. Not embed,NONE,NONE
TS3007b.C.argumentstructs.Daan.6,C,1357.75,1362.25,"Yeah, but then with something like a touch screen could  could make more menu up  pop up or something",TS3007b.B.argumentstructs.Daan.3,NONE
TS3007b.B.argumentstructs.Daan.4,B,1361.83,1384.56,"And yeah, if you want to uh uh s put  on stand-by or change the channel, that should always be possible to do. Not first change menu options or switch something. Um, well yeah, as you already told, give some feedback. If the user is pushing a button he should know if the television or n at least remote is reacting and not just that the batteries may be low.",TS3007b.B.argumentstructs.Daan.3,NONE
TS3007b.C.argumentstructs.24,C,1362.25,1376.56,. Yeah. Yeah.,NONE,NONE
TS3007b.B.argumentstructs.Daan.5,B,1385.24,1428.72,"And um, well, my conclusion is uh is uh less is more, keep it simple. So uh maybe we should just ease down on the functionality to uh to keep it accessible on t because you all know, if there are a lot of function  on the the television, some you you'll never know uh and never use, and therefore it's uh important if you want to change the volume or channel that is always accessible and easy and other functions um that are not so important  um well you  we should consider just not using them or at least putting them somewhere on the remote where they're not in the way for the for the most important functions.",TS3007b.B.argumentstructs.Daan.3,NONE
TS3007b.D.argumentstructs.Daan.9,D,1429.07,1484.99,"Yeah. Uh, I think the idea uh about uh touch screen um is very good. Um, because recently uh I saw news item on T_V_ um about uh new telephones uh for elder people. Um, they have like a touch screen with uh really big pictures on it like uh uh call uh hang-up, um and that's a big ad advantage I think, because one the one hand uh you make the remote control compatible for elder users just by uh scaling up the pictures or something. It's uh very visual intended.",TS3007b.B.argumentstructs.Daan.3,TS3007b.B.argumentstructs.Daan.9
TS3007b.A.argumentstructs.5,A,1479.89,1480.18,Mm-hmm.,NONE,NONE
TS3007b.D.argumentstructs.25,D,1488.69,1495.02,What was I to say more ? Yeah.,NONE,NONE
TS3007b.B.argumentstructs.Daan.9,B,1490.48,1533.142,"Maybe that's an option. Um keep the primary buttons visible. Uh make a remote that fits easily in the hands and for some design issues uh well, put a logo on it and maybe use it uh in some aesthetic uh aesthetic form. But uh th the important buttons m make them always accessible and pushable and clear and maybe use a touch screen, or if that's uh will become too difficult just uh like televi some o older telephones use a l uh maybe it's possible to to flip them open and uh just expand the number of options that are normally visible. Um",TS3007b.D.argumentstructs.Daan.9,TS3007b.D.argumentstructs.Daan.10
TS3007b.D.argumentstructs.Daan.10,D,1532.19,1540.14,"Yeah okay, but but if you pick the the idea, the left idea then what's gonna be displayed on the touch screen ?",TS3007b.B.argumentstructs.Daan.9,"TS3007b.C.argumentstructs.Daan.7, TS3007b.B.argumentstructs.Daan.8"
TS3007b.B.argumentstructs.23,B,1536.16,1536.43,Yeah.,NONE,NONE
TS3007b.C.argumentstructs.Daan.7,C,1540.56,1541.54,The extra functions.,TS3007b.D.argumentstructs.Daan.10,NONE
TS3007b.B.argumentstructs.Daan.8,B,1541.6,1555.18,"The extra functions, you uh you just see a menu from system functions or teletext functions, and you just choose one, and then all all the options will become available and you just c s yeah t scroll through them.",TS3007b.D.argumentstructs.Daan.10,TS3007b.C.argumentstructs.Daan.8
