ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009a.D.argumentstructs.Daan.1,D,507.808,513.57,We certainly can try to  I agree with her that to market something successfully it should do some more things.,NONE,IS1009a.A.argumentstructs.Daan.4
IS1009a.A.argumentstructs.Daan.4,A,513.11,521.07,"It should be something new  it should be s it it should do something different than than just what we have. Now, of course, the other thing to think there is maybe the design.",IS1009a.D.argumentstructs.Daan.1,"IS1009a.D.argumentstructs.Daan.2, IS1009a.C.argumentstructs.Daan.2, IS1009a.B.argumentstructs.Daan.3, IS1009a.A.argumentstructs.Daan.5, IS1009a.D.argumentstructs.Daan.3"
IS1009a.D.argumentstructs.Daan.2,D,517.36,517.76,That's right.,IS1009a.A.argumentstructs.Daan.4,NONE
IS1009a.C.argumentstructs.Daan.2,C,517.8,518.74,"Yeah, of course.",IS1009a.A.argumentstructs.Daan.4,NONE
IS1009a.B.argumentstructs.9,B,518.13,518.5,Yeah.,NONE,NONE
IS1009a.B.argumentstructs.Daan.3,B,521.06,525.449,"Yeah, design should be, yeah  it should be different. All the  almost all the remotes",IS1009a.A.argumentstructs.Daan.4,NONE
IS1009a.A.argumentstructs.Daan.5,A,524.22,538.73,"Like trendy no like f for earlier we saw maybe it should be something trendy you know. Maybe it should  different colours or materials or you know. Um so yeah shapes right, you know, like kidney shape feels better in your hand or something, you know.",IS1009a.A.argumentstructs.Daan.4,"IS1009a.C.argumentstructs.Daan.3, IS1009a.B.argumentstructs.Daan.4, IS1009a.C.argumentstructs.Daan.4"
IS1009a.C.argumentstructs.Daan.3,C,527.83,533.05,"Yeah, maybe ten  I do yeah, colours and al shapes also. Yeah.",IS1009a.A.argumentstructs.Daan.5,NONE
IS1009a.B.argumentstructs.Daan.4,B,527.9,532.69,"Yes, exactly. Are different shapes. Yes.",IS1009a.A.argumentstructs.Daan.5,NONE
IS1009a.C.argumentstructs.Daan.4,C,538.09,539.24,Yeah of course yeah.,IS1009a.A.argumentstructs.Daan.5,NONE
IS1009a.D.argumentstructs.Daan.3,D,538.53,551.13,"Yeah okay, friendly shape, that would help. I think another thing that would help is um if it beeps when you clap, because I think one of the big things that happens is people lose them. They can't find it.",IS1009a.A.argumentstructs.Daan.4,IS1009a.A.argumentstructs.Daan.6
IS1009a.A.argumentstructs.13,A,539.97,544.57,Yeah. Yes.,NONE,NONE
