ae_id,speaker,start_time,end_time,sentence,source,targets
ES2007b.D.argumentstructs.Erik.10,D,1547.74,1552.96,"Can't we have different colours in the remotes, so somebody can choose different col like does it have to be of a certain ?",NONE,ES2007b.A.argumentstructs.Erik.13
ES2007b.A.argumentstructs.Erik.13,A,1551.27,1560.87,"Well, see the thing is is we've gotta keep the company image. It's gotta say  people have gotta look at this remote control and instantly recognise that it's a Real Reaction i product.",ES2007b.D.argumentstructs.Erik.10,"ES2007b.D.argumentstructs.Erik.11, ES2007b.C.argumentstructs.Erik.6"
ES2007b.C.argumentstructs.9,C,1551.52,1565.33,Mm. Mm. Mm.,NONE,NONE
ES2007b.D.argumentstructs.Erik.11,D,1559.94,1564.33,"But if it's a R_R_, it would be Real Reaction, like if it had a symbol on it.",ES2007b.A.argumentstructs.Erik.13,ES2007b.A.argumentstructs.Erik.14
ES2007b.A.argumentstructs.Erik.14,A,1563.48,1565.93,There's loads of companies that called R_R_.,ES2007b.D.argumentstructs.Erik.11,ES2007b.A.argumentstructs.Erik.15
ES2007b.D.argumentstructs.16,D,1566.9,1567.23,Whoa.,NONE,NONE
ES2007b.A.argumentstructs.Erik.15,A,1567.25,1571.42,"This is slog  but this is the slogan, this is the the the the type.",ES2007b.A.argumentstructs.Erik.14,NONE
ES2007b.C.argumentstructs.Erik.6,C,1570.93,1575.53,"And this is something that came on down from from the higher ups, so, I mean, we are sort of beholden to them.",ES2007b.A.argumentstructs.Erik.13,"ES2007b.A.argumentstructs.Erik.16, ES2007b.D.argumentstructs.Erik.12"
ES2007b.A.argumentstructs.Erik.16,A,1573.64,1574.01,Yeah.,ES2007b.C.argumentstructs.Erik.6,NONE
ES2007b.D.argumentstructs.Erik.12,D,1576.47,1577.59,So we have to have it one colour.,ES2007b.C.argumentstructs.Erik.6,"ES2007b.A.argumentstructs.Erik.17, ES2007b.C.argumentstructs.Erik.7, ES2007b.A.argumentstructs.Erik.18"
ES2007b.A.argumentstructs.Erik.17,A,1578.06,1580.91,"Well, not necessarily. But we have to incorporate it.",ES2007b.D.argumentstructs.Erik.12,NONE
ES2007b.C.argumentstructs.Erik.7,C,1578.57,1581.41,"Not one colour, but the pattern needs to be recognisable.",ES2007b.D.argumentstructs.Erik.12,NONE
ES2007b.D.argumentstructs.17,D,1582.12,1591.38,Mm. Mm.,NONE,NONE
ES2007b.A.argumentstructs.Erik.18,A,1583.13,1603.98,"Not necessarily even if i it just has to  ye but you have to look at the product and instantly know that it's one of our products as opposed to a Sony product or a, you know, a Panasonic product. It's got to  so maybe, so you can have a look at our our other products and see if they all follow a s similar vein, perhaps.",ES2007b.D.argumentstructs.Erik.12,ES2007b.B.argumentstructs.Erik.8
ES2007b.B.argumentstructs.12,B,1596.76,1597.54,It could come,NONE,NONE
ES2007b.B.argumentstructs.Erik.8,B,1604.24,1615.584,But it could come in different colours and have the R_R_ colours just somewhere  like just around the lock button could be the R_R_ logo or colours and,ES2007b.A.argumentstructs.Erik.18,ES2007b.A.argumentstructs.Erik.19
ES2007b.A.argumentstructs.Erik.19,A,1608.85,1609.26,Yeah.,ES2007b.B.argumentstructs.Erik.8,NONE
ES2007b.A.argumentstructs.21,A,1614.32,1614.77,Yeah.,NONE,NONE
