ae_id,speaker,start_time,end_time,sentence,source,targets
IS1004c.B.argumentstructs.31,B,1746.6,1769.36,"it first seems a bit kind of uh niche, like only a few people would really want a banana, but what if it was kind of uh a stylised banana ? You know, rather than having it kind of you know yellow and really looking exactly like a banana, you could make it kind of silver. And um, you know to give you kind of the idea of a banana but without it looking you know completely",NONE,NONE
IS1004c.B.argumentstructs.Rutger.19,B,1771.17,1774.36,kitsch.  For better  want of a better word you know ?,NONE,"IS1004c.A.argumentstructs.Rutger.10, IS1004c.B.argumentstructs.Rutger.20, IS1004c.A.argumentstructs.Rutger.11, IS1004c.B.argumentstructs.Rutger.26"
IS1004c.A.argumentstructs.Rutger.10,A,1774.42,1775.98,You think that yellow it's kitsch.,IS1004c.B.argumentstructs.Rutger.19,NONE
IS1004c.C.argumentstructs.11,C,1774.51,1774.79,Mm-hmm.,NONE,NONE
IS1004c.B.argumentstructs.Rutger.20,B,1776.208,1780.03,"Well, you know, I don I don't know how many peop",IS1004c.B.argumentstructs.Rutger.19,NONE
IS1004c.A.argumentstructs.Rutger.11,A,1779.09,1783.66,If you make something that looks like a banana it should have the colour of a banana.,IS1004c.B.argumentstructs.Rutger.19,"IS1004c.C.argumentstructs.Rutger.5, IS1004c.B.argumentstructs.Rutger.21, IS1004c.D.argumentstructs.Rutger.21"
IS1004c.D.argumentstructs.30,D,1779.47,1782.71,"Yeah. No, I I",NONE,NONE
IS1004c.C.argumentstructs.Rutger.5,C,1784.56,1791.104,"A  yeah, otherwise it'll be mis means you don't get b any feeling then. It's neither a banana nor a",IS1004c.A.argumentstructs.Rutger.11,NONE
IS1004c.B.argumentstructs.Rutger.21,B,1785.184,1785.792,Well they,IS1004c.A.argumentstructs.Rutger.11,NONE
IS1004c.A.argumentstructs.16,A,1785.92,1787.02,O otherwise,NONE,NONE
IS1004c.D.argumentstructs.Rutger.21,D,1787.4,1788.97,Maybe li like that.,IS1004c.A.argumentstructs.Rutger.11,IS1004c.B.argumentstructs.Rutger.25
IS1004c.B.argumentstructs.Rutger.25,B,1790.07,1791.808,"Yeah, like this colour this colour",IS1004c.D.argumentstructs.Rutger.21,NONE
IS1004c.B.argumentstructs.Rutger.26,B,1793.04,1797.31,"Maybe, you know, maybe  like still in the shape of a banana.",IS1004c.B.argumentstructs.Rutger.19,"IS1004c.A.argumentstructs.Rutger.12, IS1004c.B.argumentstructs.Rutger.24"
IS1004c.A.argumentstructs.Rutger.12,A,1797.79,1798.48,Roughly.,IS1004c.B.argumentstructs.Rutger.26,IS1004c.B.argumentstructs.Rutger.23
IS1004c.B.argumentstructs.Rutger.23,B,1799.232,1801.85,"No, exactly.",IS1004c.A.argumentstructs.Rutger.12,NONE
IS1004c.B.argumentstructs.Rutger.24,B,1801.85,1827.87,"Exactly. Um, but you know, just maybe maybe not exactly the same texture as a banana and just kind of, you know  because the thing is it's gonna be a little bit difficult to make  um to give like the texture of a banana anyway and to k to have the exact shape. I think if you're gonna not be able to do it properly you may as well do it in a stylised way that just looks a bit more kind of, you know, twenty first century rather than sixties or seventies.",IS1004c.B.argumentstructs.Rutger.26,IS1004c.A.argumentstructs.Rutger.13
IS1004c.A.argumentstructs.Rutger.13,A,1826.47,1826.8,Yeah.,IS1004c.B.argumentstructs.Rutger.24,NONE
