ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004c.A.argumentstructs.Daan.1,A,1044.62,1055.17,"Yeah, we have to put our Real Reaction logo as well on the on the  remote control. So the colours also. So we have ha to ma make it in black, black, yellow.",NONE,"TS3004c.A.argumentstructs.Daan.2, TS3004c.C.argumentstructs.Daan.1, TS3004c.B.argumentstructs.Daan.1, TS3004c.C.argumentstructs.Daan.4, TS3004c.B.argumentstructs.Daan.2, TS3004c.A.argumentstructs.Daan.6"
TS3004c.C.argumentstructs.18,C,1049.16,1059.05,"Okay. Yeah. Yeah, mm n",NONE,NONE
TS3004c.B.argumentstructs.12,B,1056.26,1057.29,Black yellow control.,NONE,NONE
TS3004c.A.argumentstructs.Daan.2,A,1058.02,1060.88,Maybe the sides in yellow and the the the top in black.,TS3004c.A.argumentstructs.Daan.1,TS3004c.A.argumentstructs.Daan.3
TS3004c.C.argumentstructs.Daan.1,C,1060.34,1068.07,"Not that weird, because we definitely want to make it kind of flashy, to attract a young public.",TS3004c.A.argumentstructs.Daan.1,NONE
TS3004c.B.argumentstructs.Daan.1,B,1068.25,1073.36,"Yeah, but uh  I don't think the the colours black and yellow go well together. But",TS3004c.A.argumentstructs.Daan.1,"TS3004c.C.argumentstructs.Daan.2, TS3004c.C.argumentstructs.Daan.3"
TS3004c.C.argumentstructs.Daan.2,C,1074.08,1075.79,"No, okay. That's a that's a sen",TS3004c.B.argumentstructs.Daan.1,NONE
TS3004c.A.argumentstructs.Daan.3,A,1074.15,1077.79,We make i Maybe you can put yellow on the side and black on the on the front.,TS3004c.A.argumentstructs.Daan.2,NONE
TS3004c.C.argumentstructs.Daan.3,C,1078.48,1080.159,"That's just a matter of tastes, but",TS3004c.B.argumentstructs.Daan.1,NONE
TS3004c.B.argumentstructs.13,B,1080.42,1080.97,"Yeah, okay.",NONE,NONE
TS3004c.C.argumentstructs.Daan.4,C,1081.1,1083.8,"We have to use uh kind of flashy colours, I think.",TS3004c.A.argumentstructs.Daan.1,NONE
TS3004c.B.argumentstructs.Daan.2,B,1083.33,1092.368,"Uh can't we use um different uh fron uh fronts, with all with the the logo on it ? Can we do that ? So",TS3004c.A.argumentstructs.Daan.1,"TS3004c.A.argumentstructs.Daan.4, TS3004c.C.argumentstructs.Daan.5"
TS3004c.C.argumentstructs.19,C,1090.49,1090.93,Yeah.,NONE,NONE
TS3004c.A.argumentstructs.Daan.4,A,1090.56,1093.54,"Yeah, it's cool. Yep. And still trans",TS3004c.B.argumentstructs.Daan.2,TS3004c.A.argumentstructs.Daan.5
TS3004c.C.argumentstructs.Daan.5,C,1091.9,1095.111,Like fronts in in red and yellow and blue and,TS3004c.B.argumentstructs.Daan.2,NONE
TS3004c.B.argumentstructs.14,B,1093.87,1095.66,Yes. So,NONE,NONE
TS3004c.A.argumentstructs.Daan.5,A,1095.17,1096.54,Still still transparent.,TS3004c.A.argumentstructs.Daan.4,TS3004c.B.argumentstructs.Daan.3
TS3004c.B.argumentstructs.Daan.3,B,1097.16,1099.57,Yeah. But with all with logo on it.,TS3004c.A.argumentstructs.Daan.5,NONE
TS3004c.A.argumentstructs.14,A,1099.56,1099.99,Okay.,NONE,NONE
TS3004c.A.argumentstructs.Daan.6,A,1114.29,1118.06,"Yeah, we make it som Maybe we have to make it from soft material. Uh I'm not sure.",TS3004c.A.argumentstructs.Daan.1,"TS3004c.C.argumentstructs.Daan.6, TS3004c.C.argumentstructs.Daan.9"
TS3004c.C.argumentstructs.20,C,1118.0,1118.97,"Yeah, I dunno.",NONE,NONE
TS3004c.B.argumentstructs.15,B,1119.69,1119.99,Yeah.,NONE,NONE
TS3004c.C.argumentstructs.Daan.6,C,1120.93,1127.39,"Maybe. But anyways uh it should be transparent. We decided that, huh ? S",TS3004c.A.argumentstructs.Daan.6,"TS3004c.B.argumentstructs.Daan.4, TS3004c.C.argumentstructs.Daan.8"
TS3004c.B.argumentstructs.Daan.4,B,1127.14,1136.03,"Well one of the options. You can  Just like a mobile phone, you can make um different fronts on it. So you can just replace them I think.",TS3004c.C.argumentstructs.Daan.6,"TS3004c.C.argumentstructs.Daan.7, TS3004c.A.argumentstructs.Daan.7, TS3004c.B.argumentstructs.Daan.5"
TS3004c.C.argumentstructs.Daan.7,C,1132.9,1137.79,"Okay. Yeah, we could do that.",TS3004c.B.argumentstructs.Daan.4,NONE
TS3004c.B.argumentstructs.16,B,1137.24,1139.73,"That was the idea, or just uh release one.",NONE,NONE
TS3004c.A.argumentstructs.Daan.7,A,1138.63,1143.843,"Yeah. Just give five with them, just in a box.  Five different",TS3004c.B.argumentstructs.Daan.4,NONE
TS3004c.B.argumentstructs.Daan.5,B,1142.77,1145.05,"Yeah, uh  Or just uh sell different ones.",TS3004c.B.argumentstructs.Daan.4,NONE
TS3004c.C.argumentstructs.Daan.8,C,1143.56,1150.54,"Yeah, but y you could you could make 'em uh uh like blue and transparent. So you can still th look through it.",TS3004c.C.argumentstructs.Daan.6,NONE
TS3004c.A.argumentstructs.15,A,1149.38,1150.32,Yeah. Cool.,NONE,NONE
TS3004c.C.argumentstructs.Daan.9,C,1151.75,1158.01,Um the buttons. Normal rubber I think. Like normal ordinary buttons. Soft.,TS3004c.A.argumentstructs.Daan.6,"TS3004c.A.argumentstructs.Daan.8, TS3004c.B.argumentstructs.Daan.7"
TS3004c.A.argumentstructs.Daan.8,A,1158.15,1163.58,"Yeah. It it could be like a Nokia, like  plastic. That's better prob Yeah.",TS3004c.C.argumentstructs.Daan.9,TS3004c.C.argumentstructs.Daan.10
TS3004c.B.argumentstructs.17,B,1160.69,1161.67,"Yeah, just uh",NONE,NONE
TS3004c.D.argumentstructs.1,D,1161.23,1161.66,Uh uh,NONE,NONE
TS3004c.C.argumentstructs.Daan.10,C,1162.02,1163.51,With the hard hard buttons.,TS3004c.A.argumentstructs.Daan.8,NONE
TS3004c.B.argumentstructs.Daan.7,B,1163.13,1165.37,I think uh rubber really has an odd look.,TS3004c.C.argumentstructs.Daan.9,NONE
TS3004c.C.argumentstructs.21,C,1166.12,1166.5,Okay.,NONE,NONE
