ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004d.D.argumentstructs.Daan.5,D,1276.55,1283.64,Oh. Okay. New features. Techno technological innovative ?,NONE,"TS3004d.C.argumentstructs.Daan.6, TS3004d.D.argumentstructs.Daan.6, TS3004d.B.argumentstructs.Daan.8, TS3004d.D.argumentstructs.Daan.8, TS3004d.B.argumentstructs.Daan.10, TS3004d.D.argumentstructs.Daan.9, TS3004d.A.argumentstructs.Daan.8, TS3004d.B.argumentstructs.Daan.11"
TS3004d.C.argumentstructs.13,C,1277.15,1277.36,Yeah.,NONE,NONE
TS3004d.A.argumentstructs.13,A,1279.96,1280.56,Okay.,NONE,NONE
TS3004d.C.argumentstructs.Daan.6,C,1283.65,1286.35,The speech function and the colour. Colour.,TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.D.argumentstructs.Daan.6,D,1284.732,1290.54,The speech function is new. The scrollwheel and the slide. Uh I think the slide is pretty new.,TS3004d.D.argumentstructs.Daan.5,TS3004d.A.argumentstructs.Daan.6
TS3004d.B.argumentstructs.Daan.8,B,1285.88,1289.59,"And the scrollwheel, backlights, slide.",TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.A.argumentstructs.Daan.6,A,1289.48,1292.958,Slide is not n is is not new. No. I already have a,TS3004d.D.argumentstructs.Daan.6,"TS3004d.D.argumentstructs.Daan.7, TS3004d.A.argumentstructs.Daan.7, TS3004d.B.argumentstructs.Daan.9"
TS3004d.D.argumentstructs.Daan.7,D,1292.02,1295.36,"Uh I only saw it in a telephone, not in an remote control.",TS3004d.A.argumentstructs.Daan.6,NONE
TS3004d.A.argumentstructs.Daan.7,A,1294.15,1301.93,Uh I already have a V_C_R_ and it's about from nineteen eighty eight. And they all have a slide in it. So that's not new. Yeah.,TS3004d.A.argumentstructs.Daan.6,NONE
TS3004d.D.argumentstructs.12,D,1296.93,1297.77,Okay.,NONE,NONE
TS3004d.B.argumentstructs.Daan.9,B,1299.24,1302.78,"But also slide that buttons come out, as well ? Okay.",TS3004d.A.argumentstructs.Daan.6,NONE
TS3004d.D.argumentstructs.Daan.8,D,1302.88,1309.33,"Okay, and the the the lightning ? Is that new ? The lighting's new. Scrollwheel. Speech ?",TS3004d.D.argumentstructs.Daan.5,TS3004d.C.argumentstructs.Daan.7
TS3004d.A.argumentstructs.14,A,1306.84,1307.3,Uh for a f,NONE,NONE
TS3004d.C.argumentstructs.Daan.7,C,1307.19,1308.88,"Mm it's pretty new, I think.",TS3004d.D.argumentstructs.Daan.8,TS3004d.C.argumentstructs.Daan.8
TS3004d.B.argumentstructs.14,B,1307.54,1307.82,Yes.,NONE,NONE
TS3004d.C.argumentstructs.Daan.8,C,1310.33,1311.07,Speech is new.,TS3004d.C.argumentstructs.Daan.7,NONE
TS3004d.B.argumentstructs.Daan.10,B,1312.05,1313.653,"Different colours, so",TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.D.argumentstructs.Daan.9,D,1313.82,1317.33,"Yeah, different fronts for a remote control, I think that's new too.",TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.A.argumentstructs.Daan.8,A,1320.17,1323.944,"There are no games on it, that's that's  It's not a one, it's a two again. But",TS3004d.D.argumentstructs.Daan.5,NONE
TS3004d.B.argumentstructs.15,B,1320.84,1321.81,And we didn't uh,NONE,NONE
TS3004d.B.argumentstructs.Daan.11,B,1324.68,1328.77,"But then we also have the the home station. We are forgetting about that now, but",TS3004d.D.argumentstructs.Daan.5,TS3004d.A.argumentstructs.Daan.9
TS3004d.A.argumentstructs.15,A,1325.46,1325.76,If you have,NONE,NONE
TS3004d.A.argumentstructs.Daan.9,A,1329.61,1332.3,"Yeah. Oh yeah, that's right. Rechargeable.",TS3004d.B.argumentstructs.Daan.11,TS3004d.B.argumentstructs.Daan.12
TS3004d.B.argumentstructs.Daan.12,B,1331.47,1333.04,We don't recharge.,TS3004d.A.argumentstructs.Daan.9,NONE
TS3004d.B.argumentstructs.16,B,1358.61,1390.12,"Okay. Yeah, it is. Uh untitled ? Yeah, it doesn't matter. Save. N",NONE,NONE
TS3004d.C.argumentstructs.14,C,1369.07,1391.82,"No, I think it is. Okay. Mm two, I think.",NONE,NONE
TS3004d.D.argumentstructs.13,D,1378.29,1390.3,"the the seven, uh all the seven. No, we are not extraordinary new or something. Tha tha that",NONE,NONE
TS3004d.A.argumentstructs.16,A,1389.29,1390.59,"No, just so it's still a two.",NONE,NONE
