ae_id,speaker,start_time,end_time,sentence,source,targets
ES2006b.C.argumentstructs.Erik.7,C,1720.7,1731.19,"Yeah, if we ta if we take fifteen to thirty five, but that then does imply that we should try and incorporate voice recognition. Is that gonna have a  an implication for the technical specs ?",NONE,"ES2006b.D.argumentstructs.Erik.4, ES2006b.A.argumentstructs.Erik.6"
ES2006b.A.argumentstructs.18,A,1721.89,1722.1,Mm.,NONE,NONE
ES2006b.D.argumentstructs.Erik.4,D,1723.7,1724.01,Yeah.,ES2006b.C.argumentstructs.Erik.7,NONE
ES2006b.A.argumentstructs.Erik.6,A,1727.42,1744.843,"Um  I was having a a general outlook on um m most like sophisticated features, but voice recognition itself I'm not very sure about, because one of the p uh things that Cat pointed out was uh uh how do we go about implementing it ? Uh and uh",ES2006b.C.argumentstructs.Erik.7,ES2006b.B.argumentstructs.Erik.9
ES2006b.C.argumentstructs.21,C,1742.68,1743.06,Mm-hmm.,NONE,NONE
ES2006b.B.argumentstructs.Erik.9,B,1744.0,1751.81,"You do have it in your mobile phone though, don't you ? Because you have like  I mean every mobile phone now has like call this person and it calls them.",ES2006b.A.argumentstructs.Erik.6,"ES2006b.C.argumentstructs.Erik.8, ES2006b.A.argumentstructs.Erik.7, ES2006b.A.argumentstructs.Erik.8"
ES2006b.C.argumentstructs.Erik.8,C,1747.59,1748.11,Yeah.,ES2006b.B.argumentstructs.Erik.9,NONE
ES2006b.A.argumentstructs.Erik.7,A,1750.76,1751.52,Yeah.,ES2006b.B.argumentstructs.Erik.9,NONE
ES2006b.A.argumentstructs.Erik.8,A,1751.52,1759.968,"But how frequently do we use it anyway and um uh h ho how good is it, you know uh voice recognition softwares are still quite uh",ES2006b.B.argumentstructs.Erik.9,"ES2006b.D.argumentstructs.Erik.5, ES2006b.B.argumentstructs.Erik.10, ES2006b.C.argumentstructs.Erik.9"
ES2006b.D.argumentstructs.Erik.5,D,1752.13,1752.52,Yeah.,ES2006b.A.argumentstructs.Erik.8,NONE
ES2006b.D.argumentstructs.10,D,1753.86,1760.23,Yeah. An,NONE,NONE
ES2006b.B.argumentstructs.Erik.10,B,1758.56,1759.02,I don't know.,ES2006b.A.argumentstructs.Erik.8,NONE
ES2006b.C.argumentstructs.22,C,1760.43,1768.84,"but with a T_V_ remote it's gonna be quite limited if we're t saying the main things people want to do is on off channel five,",NONE,NONE
ES2006b.A.argumentstructs.Erik.9,A,1766.63,1767.33,Yeah.,ES2006b.C.argumentstructs.Erik.9,NONE
ES2006b.D.argumentstructs.Erik.6,D,1767.94,1768.27,Yeah.,ES2006b.C.argumentstructs.Erik.9,NONE
ES2006b.B.argumentstructs.Erik.11,B,1769.04,1769.52,Yeah.,ES2006b.C.argumentstructs.Erik.9,NONE
ES2006b.A.argumentstructs.19,A,1770.15,1774.84,Right. Right. Okay. O,NONE,NONE
ES2006b.C.argumentstructs.Erik.9,C,1770.94,1774.12,"louder, tha that should be relatively simple.",ES2006b.A.argumentstructs.Erik.8,"ES2006b.A.argumentstructs.Erik.9, ES2006b.D.argumentstructs.Erik.6, ES2006b.B.argumentstructs.Erik.11, ES2006b.B.argumentstructs.Erik.12"
ES2006b.B.argumentstructs.19,B,1771.15,1772.16,S so,NONE,NONE
ES2006b.B.argumentstructs.Erik.12,B,1774.23,1797.29,"y you'd maybe need a code word. Do you know what I mean ? So like when you say change, except that's  being said quite a lot on T_V_, so maybe like, you know, remote. I mean how often do people say remote on T_V_ ? Although I only watch Charmed, so really  I wouldn't know but like so you'd just say remote five, you know, remote ten, remote one two nine.",ES2006b.C.argumentstructs.Erik.9,"ES2006b.A.argumentstructs.Erik.10, ES2006b.C.argumentstructs.Erik.10, ES2006b.A.argumentstructs.Erik.11"
ES2006b.A.argumentstructs.Erik.10,A,1776.59,1776.95,Right.,ES2006b.B.argumentstructs.Erik.12,NONE
ES2006b.C.argumentstructs.23,C,1776.79,1777.04,Mm.,NONE,NONE
ES2006b.C.argumentstructs.Erik.10,C,1786.04,1786.72,Yeah.,ES2006b.B.argumentstructs.Erik.12,NONE
ES2006b.A.argumentstructs.20,A,1793.52,1795.68,Right. Yeah.,NONE,NONE
ES2006b.C.argumentstructs.24,C,1795.64,1795.93,Mm-hmm.,NONE,NONE
ES2006b.A.argumentstructs.Erik.11,A,1797.88,1804.66,"Okay, so it seems like a feasible thing to implement uh for for a limited  yeah.",ES2006b.B.argumentstructs.Erik.12,ES2006b.D.argumentstructs.Erik.7
ES2006b.D.argumentstructs.Erik.7,D,1799.06,1799.31,Yeah.,ES2006b.A.argumentstructs.Erik.11,NONE
