ae_id,speaker,start_time,end_time,sentence,source,targets
ES2016d.D.argumentstructs.25,D,596.89,600.44,Okay um the fourth one.,NONE,NONE
ES2016d.D.argumentstructs.Rutger.8,D,600.44,604.81,How about the problem of a remote being easily lost ? One of the number one complaints.,NONE,"ES2016d.B.argumentstructs.Rutger.9, ES2016d.A.argumentstructs.Rutger.11, ES2016d.C.argumentstructs.Rutger.11, ES2016d.A.argumentstructs.Rutger.12, ES2016d.C.argumentstructs.Rutger.12, ES2016d.A.argumentstructs.Rutger.14, ES2016d.A.argumentstructs.Rutger.15, ES2016d.B.argumentstructs.Rutger.11"
ES2016d.B.argumentstructs.Rutger.9,B,604.16,606.95,Something that big and that yellow you just don't lose anymore.,ES2016d.D.argumentstructs.Rutger.8,"ES2016d.C.argumentstructs.Rutger.7, ES2016d.C.argumentstructs.Rutger.8, ES2016d.D.argumentstructs.Rutger.9"
ES2016d.C.argumentstructs.Rutger.7,C,606.76,610.23,Yeah. It's bright yellow. Bright yellow's hard to lose.,ES2016d.B.argumentstructs.Rutger.9,NONE
ES2016d.D.argumentstructs.Rutger.9,D,607.46,610.35,"Whether you want to or not, you're not gonna lose it.",ES2016d.B.argumentstructs.Rutger.9,NONE
ES2016d.C.argumentstructs.Rutger.8,C,610.23,620.25,"But um if we were to, if we were, that, the speech recognition. That, we could maybe just use that solely for the the finding thing. That was what we'd we'd mentioned.",ES2016d.B.argumentstructs.Rutger.9,NONE
ES2016d.A.argumentstructs.Rutger.11,A,619.85,623.722,So if we incorporate speech recognition into it then it could,ES2016d.D.argumentstructs.Rutger.8,"ES2016d.C.argumentstructs.Rutger.9, ES2016d.C.argumentstructs.Rutger.10"
ES2016d.C.argumentstructs.Rutger.9,C,622.98,625.12,"Just just to use, to find it when it was lost",ES2016d.A.argumentstructs.Rutger.11,NONE
ES2016d.C.argumentstructs.Rutger.10,C,625.12,629.06,". But like I said, like I don't think you'd lose something so yellow so easily.",ES2016d.A.argumentstructs.Rutger.11,NONE
ES2016d.C.argumentstructs.Rutger.11,C,629.06,634.224,"And it's not gonna fall, like a rectangle would slip down behind things. That's gonna be a difficult shape to",ES2016d.D.argumentstructs.Rutger.8,NONE
ES2016d.A.argumentstructs.Rutger.12,A,635.65,637.493,And it is quite bright and,ES2016d.D.argumentstructs.Rutger.8,NONE
