ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007d.D.argumentstructs.Daan.1,D,1106.84,1111.82,"No no we have  you have designed two products now, one is with L_C_D_ and without L_C_D_.",NONE,IS1007d.B.argumentstructs.Daan.1
IS1007d.A.argumentstructs.16,A,1109.36,1109.54,Yeah.,NONE,NONE
IS1007d.B.argumentstructs.28,B,1111.11,1111.38,Yeah.,NONE,NONE
IS1007d.C.argumentstructs.25,C,1111.17,1111.79,Yeah.,NONE,NONE
IS1007d.B.argumentstructs.Daan.1,B,1112.43,1117.62,But who will give the scoring uh we ourself or or a third party ?,IS1007d.D.argumentstructs.Daan.1,"IS1007d.A.argumentstructs.Daan.1, IS1007d.D.argumentstructs.Daan.2"
IS1007d.A.argumentstructs.Daan.1,A,1115.62,1115.96,You.,IS1007d.B.argumentstructs.Daan.1,NONE
IS1007d.D.argumentstructs.Daan.2,D,1116.18,1124.67,"According to you, no according to you designers, how will feel  does it uh with L_C_D_ and without L_C_D_ ?",IS1007d.B.argumentstructs.Daan.1,"IS1007d.D.argumentstructs.Daan.3, IS1007d.D.argumentstructs.Daan.4, IS1007d.D.argumentstructs.Daan.8, IS1007d.D.argumentstructs.Daan.9"
IS1007d.B.argumentstructs.29,B,1123.02,1136.32,Mm. Mm. Mm.,NONE,NONE
IS1007d.D.argumentstructs.Daan.3,D,1125.96,1130.12,Okay let us make this L_ and without L_C_D_.,IS1007d.D.argumentstructs.Daan.2,NONE
IS1007d.D.argumentstructs.Daan.4,D,1131.36,1140.69,On on this scale the L_C_D_ remote control. How do you look  how does it look ? D is it very fancy or doesn't look much fancy ?,IS1007d.D.argumentstructs.Daan.2,IS1007d.C.argumentstructs.Daan.1
IS1007d.C.argumentstructs.Daan.1,C,1141.08,1145.08,Well it doesn't look much fancy I'll I'll say three or four.,IS1007d.D.argumentstructs.Daan.4,IS1007d.D.argumentstructs.Daan.5
IS1007d.D.argumentstructs.Daan.5,D,1146.64,1147.95,And you both agree for that ?,IS1007d.C.argumentstructs.Daan.1,"IS1007d.B.argumentstructs.Daan.2, IS1007d.D.argumentstructs.Daan.7"
IS1007d.B.argumentstructs.Daan.2,B,1149.463,1176.81,"I think we can improve on the design. Som someone um commented this is like a the stone age uh   design. Um we have been focused all all this  time on the  on the technical aspect, functional aspect, but also the simplicity. As for the design maybe we c should hire a designer to help. Yeah.",IS1007d.D.argumentstructs.Daan.5,IS1007d.D.argumentstructs.Daan.7
IS1007d.C.argumentstructs.26,C,1165.51,1166.83,Technical aspects.,NONE,NONE
IS1007d.D.argumentstructs.Daan.7,D,1172.89,1175.71,So I take three on  with L_C_D_ ?,IS1007d.B.argumentstructs.Daan.2,IS1007d.C.argumentstructs.Daan.2
IS1007d.C.argumentstructs.Daan.2,C,1174.01,1174.64,Yeah a three.,IS1007d.D.argumentstructs.Daan.7,NONE
