ae_id,speaker,start_time,end_time,sentence,source,targets
ES2002c.D.argumentstructs.Erik.20,D,2011.25,2038.806,"I mean one of the things running through my mind right now, I realise we're being efficient to wrap up the meeting and have lots of decisions made, um but we are leaning quite a bit to the side of being low-tech, rubber buttons plastic frame, it's almost like we're reproducing the same old remote control that's out there. Should we think about how we are actually getting this high-tech user friendly uh um theme  like what is it that we're u we're using to to achieve those goals ? Like",NONE,ES2002c.B.argumentstructs.Erik.23
ES2002c.B.argumentstructs.37,B,2015.07,2025.23,Mm-hmm. Mm 'kay.,NONE,NONE
ES2002c.B.argumentstructs.Erik.23,B,2038.4,2041.64,Could have things like backlighting the buttons and stuff like that.,ES2002c.D.argumentstructs.Erik.20,"ES2002c.D.argumentstructs.Erik.21, ES2002c.A.argumentstructs.Erik.14, ES2002c.A.argumentstructs.Erik.16"
ES2002c.D.argumentstructs.Erik.21,D,2040.69,2043.59,"Okay so so backlighting, that would be good.",ES2002c.B.argumentstructs.Erik.23,NONE
ES2002c.A.argumentstructs.Erik.14,A,2042.64,2057.47,"Or even a clear case. Um you know a a glowing a a glowing yellow type case where the yellow is showable, but in the dark it sort of, it's alive. Um in in a slight subtle way.",ES2002c.B.argumentstructs.Erik.23,"ES2002c.D.argumentstructs.Erik.22, ES2002c.B.argumentstructs.Erik.24, ES2002c.B.argumentstructs.Erik.25"
ES2002c.D.argumentstructs.Erik.22,D,2044.65,2045.656,"Yeah clear, that'd be",ES2002c.A.argumentstructs.Erik.14,NONE
ES2002c.B.argumentstructs.Erik.24,B,2045.94,2047.52,Aye that would be a good idea.,ES2002c.A.argumentstructs.Erik.14,ES2002c.D.argumentstructs.Erik.23
ES2002c.D.argumentstructs.Erik.23,D,2046.67,2047.15,Okay.,ES2002c.B.argumentstructs.Erik.24,NONE
ES2002c.D.argumentstructs.35,D,2054.2,2054.95,Yeah sure.,NONE,NONE
ES2002c.B.argumentstructs.Erik.25,B,2056.02,2063.23,"S so like cur slightly transparent case, so it's yellow, like tinted yellow, but you can maybe see through it. Is that what you mean ?",ES2002c.A.argumentstructs.Erik.14,"ES2002c.D.argumentstructs.Erik.24, ES2002c.A.argumentstructs.Erik.15"
ES2002c.D.argumentstructs.Erik.24,D,2056.9,2057.81,Yeah that'd be really good.,ES2002c.B.argumentstructs.Erik.25,NONE
ES2002c.A.argumentstructs.Erik.15,A,2058.68,2059.67,Yeah yeah.,ES2002c.B.argumentstructs.Erik.25,NONE
ES2002c.D.argumentstructs.36,D,2059.53,2059.95,Yeah.,NONE,NONE
ES2002c.A.argumentstructs.20,A,2060.8,2061.7,Yeah.,NONE,NONE
ES2002c.A.argumentstructs.Erik.16,A,2062.82,2075.456,"Or or there might be a light running through it like a mouse. You know you have cordless mice and they don't eat that much power right. So the power  the battery in that sense, maybe you have one or two stratig strategically placed lights that sort of",ES2002c.B.argumentstructs.Erik.23,"ES2002c.D.argumentstructs.Erik.25, ES2002c.D.argumentstructs.Erik.26, ES2002c.B.argumentstructs.Erik.26, ES2002c.A.argumentstructs.Erik.17"
ES2002c.D.argumentstructs.Erik.25,D,2065.44,2065.79,Sure.,ES2002c.A.argumentstructs.Erik.16,NONE
ES2002c.D.argumentstructs.37,D,2068.37,2074.19,"Yeah, yeah. Yeah. Sure.",NONE,NONE
ES2002c.D.argumentstructs.Erik.26,D,2075.4,2077.11,Yeah they they emanate a light through it.,ES2002c.A.argumentstructs.Erik.16,NONE
ES2002c.A.argumentstructs.Erik.17,A,2077.05,2083.16,"Yeah but because the case is transparent so it gives it a little bit of a glow, doesn't make it freaky.",ES2002c.A.argumentstructs.Erik.16,ES2002c.D.argumentstructs.Erik.27
ES2002c.B.argumentstructs.Erik.26,B,2077.17,2077.61,Okay.,ES2002c.A.argumentstructs.Erik.16,NONE
ES2002c.B.argumentstructs.38,B,2079.28,2079.69,Lights.,NONE,NONE
ES2002c.D.argumentstructs.Erik.27,D,2080.02,2080.27,'Kay.,ES2002c.A.argumentstructs.Erik.17,NONE
