ae_id,speaker,start_time,end_time,sentence,source,targets
ES2015d.D.argumentstructs.Rutger.9,D,824.53,826.53,Number four. Is this a good-looking remote ?,NONE,"ES2015d.D.argumentstructs.Rutger.10, ES2015d.C.argumentstructs.Rutger.9, ES2015d.B.argumentstructs.Rutger.10, ES2015d.A.argumentstructs.Rutger.12, ES2015d.D.argumentstructs.Rutger.11, ES2015d.D.argumentstructs.Rutger.12, ES2015d.D.argumentstructs.Rutger.17"
ES2015d.B.argumentstructs.28,B,825.93,826.84,Mm.,NONE,NONE
ES2015d.D.argumentstructs.Rutger.10,D,826.53,830.15,Remember that seventy five percent of users find most remote controls ugly.,ES2015d.D.argumentstructs.Rutger.9,NONE
ES2015d.C.argumentstructs.Rutger.9,C,830.308,832.195,It's definitely,ES2015d.D.argumentstructs.Rutger.9,NONE
ES2015d.B.argumentstructs.Rutger.10,B,831.06,832.89,Again I think the colour comes into this.,ES2015d.D.argumentstructs.Rutger.9,ES2015d.A.argumentstructs.Rutger.11
ES2015d.A.argumentstructs.Rutger.11,A,832.93,834.9,Yeah colour will definitely be a factor.,ES2015d.B.argumentstructs.Rutger.10,NONE
ES2015d.D.argumentstructs.37,D,835.77,848.99,. Whoops.,NONE,NONE
ES2015d.A.argumentstructs.Rutger.12,A,836.17,838.37,I think that the logo could be smaller.,ES2015d.D.argumentstructs.Rutger.9,"ES2015d.B.argumentstructs.Rutger.11, ES2015d.A.argumentstructs.Rutger.13"
ES2015d.B.argumentstructs.Rutger.11,B,838.67,839.14,Okay.,ES2015d.A.argumentstructs.Rutger.12,NONE
ES2015d.C.argumentstructs.Rutger.10,C,839.02,839.6,Yeah.,NONE,NONE
ES2015d.A.argumentstructs.Rutger.13,A,839.47,844.31,"And maybe not such a prominent way. Maybe like at the bottom, kind of.",ES2015d.A.argumentstructs.Rutger.12,ES2015d.C.argumentstructs.Rutger.11
ES2015d.C.argumentstructs.29,C,842.17,843.05,But the,NONE,NONE
ES2015d.C.argumentstructs.Rutger.11,C,844.5,848.12,Remember the management said that it it had to be prominent.,ES2015d.A.argumentstructs.Rutger.13,"ES2015d.B.argumentstructs.Rutger.12, ES2015d.A.argumentstructs.Rutger.14"
ES2015d.B.argumentstructs.Rutger.12,B,844.59,845.436,Not in,ES2015d.C.argumentstructs.Rutger.11,NONE
ES2015d.A.argumentstructs.Rutger.14,A,848.85,850.56,Oh it just had to be on there I guess.,ES2015d.C.argumentstructs.Rutger.11,NONE
ES2015d.D.argumentstructs.Rutger.11,D,850.02,857.41,Should just not touch it.  This time it's the three I killed.,ES2015d.D.argumentstructs.Rutger.9,NONE
ES2015d.C.argumentstructs.Rutger.12,C,850.16,857.897,Yeah.,ES2015d.D.argumentstructs.Rutger.12,NONE
ES2015d.B.argumentstructs.29,B,851.34,857.12,Don't worry.,NONE,NONE
ES2015d.D.argumentstructs.Rutger.12,D,857.41,859.29,I was just wondering if it should be like flatter.,ES2015d.D.argumentstructs.Rutger.9,"ES2015d.C.argumentstructs.Rutger.12, ES2015d.B.argumentstructs.Rutger.13, ES2015d.A.argumentstructs.Rutger.15"
