ae_id,speaker,start_time,end_time,sentence,source,targets
ES2005b.D.argumentstructs.Erik.1,D,1620.61,1641.55,"Well what about  this might get a bit too expensive actually, but what about um something that's built into the T_V_ um that you can press and it'll send out a little signal you know like the ones that we can't hear or  something um that that will activate the remote control starts to beep.",NONE,"ES2005b.C.argumentstructs.Erik.1, ES2005b.A.argumentstructs.Erik.1, ES2005b.A.argumentstructs.Erik.2, ES2005b.A.argumentstructs.Erik.7"
ES2005b.C.argumentstructs.Erik.1,C,1635.54,1636.67,"Ah, that's a good idea.",ES2005b.D.argumentstructs.Erik.1,NONE
ES2005b.A.argumentstructs.Erik.1,A,1640.47,1640.75,Right.,ES2005b.D.argumentstructs.Erik.1,NONE
ES2005b.C.argumentstructs.7,C,1640.95,1644.71,So like a kind of backwards remote from the telly.,NONE,NONE
ES2005b.D.argumentstructs.6,D,1641.55,1665.05,If you find if y Yeah. Mm,NONE,NONE
ES2005b.A.argumentstructs.Erik.2,A,1643.87,1665.83,"Right and then it would do just you know, uh subtractive kind of cancellation of the noise. What you could do then would be you have uh  a remote controlled by the T_V_ speaker, or not a remo I'm sorry, a microphone by the T_V_ speaker and a transmitter there that sends back to your remote, 'cause you can't um expect uh the the television manufacturers to to put that feature into their T_V_s.",ES2005b.D.argumentstructs.Erik.1,"ES2005b.D.argumentstructs.Erik.2, ES2005b.A.argumentstructs.Erik.3"
ES2005b.D.argumentstructs.Erik.2,D,1665.05,1666.97,". Yeah, that's the only thing, yeah.",ES2005b.A.argumentstructs.Erik.2,NONE
ES2005b.A.argumentstructs.Erik.3,A,1666.67,1670.79,"But yeah, then you have like the little se separate module by the T_V_ speaker",ES2005b.A.argumentstructs.Erik.2,"ES2005b.C.argumentstructs.Erik.2, ES2005b.C.argumentstructs.Erik.3, ES2005b.D.argumentstructs.Erik.3, ES2005b.A.argumentstructs.Erik.4"
ES2005b.C.argumentstructs.Erik.2,C,1666.77,1667.01,Right.,ES2005b.A.argumentstructs.Erik.3,NONE
ES2005b.C.argumentstructs.Erik.3,C,1669.79,1671.36,"That we should just stick on, yeah.",ES2005b.A.argumentstructs.Erik.3,NONE
ES2005b.D.argumentstructs.Erik.3,D,1671.4,1673.79,That comes with our remote control. Yeah.,ES2005b.A.argumentstructs.Erik.3,NONE
ES2005b.A.argumentstructs.9,A,1671.51,1671.81,which,NONE,NONE
ES2005b.A.argumentstructs.Erik.4,A,1673.01,1677.13,"Right, and then the remote control would know um what's being produced by the television.",ES2005b.A.argumentstructs.Erik.3,"ES2005b.C.argumentstructs.Erik.4, ES2005b.C.argumentstructs.Erik.5"
ES2005b.C.argumentstructs.Erik.4,C,1673.22,1673.62,Yeah.,ES2005b.A.argumentstructs.Erik.4,NONE
ES2005b.C.argumentstructs.Erik.5,C,1675.45,1681.07,And that's a sort of basic R_F_ kind of frequency so it'll be cheap.,ES2005b.A.argumentstructs.Erik.4,"ES2005b.A.argumentstructs.Erik.5, ES2005b.A.argumentstructs.Erik.6"
ES2005b.A.argumentstructs.Erik.5,A,1678.56,1679.15,"Right, right.",ES2005b.C.argumentstructs.Erik.5,NONE
ES2005b.D.argumentstructs.7,D,1679.04,1679.31,Mm-hmm.,NONE,NONE
ES2005b.A.argumentstructs.Erik.6,A,1681.57,1684.99,"Right, right. Um.  Yeah that's certainly possible then",ES2005b.C.argumentstructs.Erik.5,NONE
ES2005b.A.argumentstructs.10,A,1684.99,1685.21,an,NONE,NONE
ES2005b.A.argumentstructs.Erik.7,A,1685.21,1710.56,"another thing was about this losing the remote and trying to find it again. If you do have this sorta speech interface to it, you don't even need to find it. You just say you know, um whatever you whatever you want the remote for, you know to change the channel or to uh turn the T_V_ on and off, you just shout your command to it and it would do it for you if it's within you know, within hearing range. And uh you know it could be somewhere in the room y that you've no idea where it is and it would still do its job.",ES2005b.D.argumentstructs.Erik.1,ES2005b.D.argumentstructs.Erik.4
ES2005b.C.argumentstructs.8,C,1705.72,1706.09,Uh-huh.,NONE,NONE
ES2005b.D.argumentstructs.Erik.4,D,1710.71,1714.6,"That could also be built into the T_V_ though, which might make our remote control a bit obsolete.",ES2005b.A.argumentstructs.Erik.7,ES2005b.C.argumentstructs.Erik.6
ES2005b.C.argumentstructs.Erik.6,C,1714.7,1719.85,Yeah.  It might do us out of a job.,ES2005b.D.argumentstructs.Erik.4,ES2005b.A.argumentstructs.Erik.8
ES2005b.A.argumentstructs.Erik.8,A,1715.51,1719.87,"Well, hopefully we're uh we're ahead of the curve.",ES2005b.C.argumentstructs.Erik.6,ES2005b.D.argumentstructs.Erik.5
ES2005b.D.argumentstructs.Erik.5,D,1717.72,1719.01,"Yeah, okay.",ES2005b.A.argumentstructs.Erik.8,NONE
ES2005b.C.argumentstructs.9,C,1719.85,1720.57,Um,NONE,NONE
