ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010a.B.argumentstructs.Erik.1,B,529.06,531.21,What kinda battery would we want to use ?,NONE,"ES2010a.C.argumentstructs.Erik.1, ES2010a.A.argumentstructs.Erik.1, ES2010a.C.argumentstructs.Erik.3"
ES2010a.C.argumentstructs.5,C,531.64,531.91,D,NONE,NONE
ES2010a.C.argumentstructs.Erik.1,C,532.77,533.34,Double A_.,ES2010a.B.argumentstructs.Erik.1,ES2010a.D.argumentstructs.Erik.1
ES2010a.D.argumentstructs.Erik.1,D,533.4,534.03,Double A_.,ES2010a.C.argumentstructs.Erik.1,NONE
ES2010a.B.argumentstructs.3,B,534.25,534.59,Okay.,NONE,NONE
ES2010a.A.argumentstructs.Erik.1,A,535.52,537.33,Do some of them use triple A_s though ?,ES2010a.B.argumentstructs.Erik.1,"ES2010a.D.argumentstructs.Erik.2, ES2010a.C.argumentstructs.Erik.2"
ES2010a.D.argumentstructs.Erik.2,D,537.37,538.58,Yeah some use triple A_s.,ES2010a.A.argumentstructs.Erik.1,ES2010a.D.argumentstructs.Erik.3
ES2010a.C.argumentstructs.Erik.2,C,538.54,539.472,Some but,ES2010a.A.argumentstructs.Erik.1,ES2010a.A.argumentstructs.Erik.2
ES2010a.D.argumentstructs.Erik.3,D,538.58,540.01,So double or triple ?,ES2010a.D.argumentstructs.Erik.2,NONE
ES2010a.A.argumentstructs.Erik.2,A,538.79,539.05,Okay.,ES2010a.C.argumentstructs.Erik.2,NONE
ES2010a.C.argumentstructs.6,C,540.52,541.98,"Yeah, I guess then it's",NONE,NONE
ES2010a.C.argumentstructs.Erik.3,C,543.78,547.45,"If we need to do triple A_ we can, but most people usually have double A_s around.",ES2010a.B.argumentstructs.Erik.1,ES2010a.A.argumentstructs.Erik.3
ES2010a.A.argumentstructs.Erik.3,A,547.7,554.528,"Okay. Yeah. But that has to do with the size of it too. Well, w as long as we know that issue is",ES2010a.C.argumentstructs.Erik.3,"ES2010a.C.argumentstructs.Erik.4, ES2010a.B.argumentstructs.Erik.2, ES2010a.D.argumentstructs.Erik.4"
ES2010a.C.argumentstructs.Erik.4,C,551.46,551.7,Right.,ES2010a.A.argumentstructs.Erik.3,NONE
ES2010a.B.argumentstructs.Erik.2,B,551.86,552.09,Yeah.,ES2010a.A.argumentstructs.Erik.3,NONE
ES2010a.D.argumentstructs.Erik.4,D,555.25,558.21,"Yeah, if we want it to be more thin, then we'd probably wanna go with a triple A_.",ES2010a.A.argumentstructs.Erik.3,ES2010a.A.argumentstructs.Erik.4
ES2010a.A.argumentstructs.5,A,555.62,556.12,Here we can,NONE,NONE
ES2010a.A.argumentstructs.Erik.4,A,557.86,567.25,"Triple A. But it's okay, we don't have to decide about it now, just as long as we remember battery type and size is important",ES2010a.D.argumentstructs.Erik.4,NONE
ES2010a.A.argumentstructs.6,A,567.25,569.28,. Hey. Anything else ?,NONE,NONE
