ae_id,speaker,start_time,end_time,sentence,source,targets
IS1004c.A.argumentstructs.14,A,326.64,332.0,Well so this is in the next slide certainly. It's not ?,NONE,NONE
IS1004c.B.argumentstructs.Rutger.1,B,334.71,336.17,So which fruit are you thinking of ?,NONE,"IS1004c.D.argumentstructs.Rutger.1, IS1004c.A.argumentstructs.Rutger.1, IS1004c.B.argumentstructs.Rutger.2"
IS1004c.D.argumentstructs.22,D,352.16,361.95,"could remind some kind of vegetable, some kind of instead of vegetable, some natur mm uh natural object or something.",NONE,NONE
IS1004c.C.argumentstructs.6,C,361.94,362.22,Mm-hmm.,NONE,NONE
IS1004c.D.argumentstructs.Rutger.1,D,363.26,365.76,But yeah it it depends on the,IS1004c.B.argumentstructs.Rutger.1,NONE
IS1004c.A.argumentstructs.Rutger.1,A,364.57,367.9,So maybe you maybe you can display a banana on the L_C_D_.,IS1004c.B.argumentstructs.Rutger.1,NONE
IS1004c.B.argumentstructs.Rutger.2,B,369.216,378.665,"Oh, so you want the remote control to be the shape of a fruit, or you want just some kind of like fruit logo on the",IS1004c.B.argumentstructs.Rutger.1,"IS1004c.C.argumentstructs.Rutger.1, IS1004c.D.argumentstructs.Rutger.3, IS1004c.B.argumentstructs.Rutger.3, IS1004c.B.argumentstructs.Rutger.5, IS1004c.D.argumentstructs.Rutger.10, IS1004c.B.argumentstructs.Rutger.11, IS1004c.D.argumentstructs.Rutger.11"
IS1004c.C.argumentstructs.Rutger.1,C,377.22,384.63,"Means buttons are in the shape of fruits, buttons are in the frape  shape of fruits or something, apple, banana, something like that.",IS1004c.B.argumentstructs.Rutger.2,"IS1004c.D.argumentstructs.Rutger.2, IS1004c.A.argumentstructs.Rutger.2"
IS1004c.D.argumentstructs.Rutger.2,D,378.07,379.76,Yeah maybe the shape the shape,IS1004c.C.argumentstructs.Rutger.1,NONE
IS1004c.D.argumentstructs.Rutger.3,D,384.4,399.51,"No, not n not not too much focus, not too much focu not n not too s not too similar to a fruit because next year the ten the trend the trend will be different. So we shouldn't be at re really attached",IS1004c.B.argumentstructs.Rutger.2,NONE
IS1004c.A.argumentstructs.Rutger.2,A,386.6,389.963,Apple for channel one.,IS1004c.C.argumentstructs.Rutger.1,NONE
IS1004c.C.argumentstructs.7,C,393.06,397.03,Mm-hmm. Mm-hmm.,NONE,NONE
IS1004c.D.argumentstructs.23,D,400.71,402.94,to to the trend but,NONE,NONE
IS1004c.B.argumentstructs.Rutger.3,B,402.44,408.752,So something that looks half like a fruit and half like an elephant.,IS1004c.B.argumentstructs.Rutger.2,"IS1004c.D.argumentstructs.Rutger.4, IS1004c.C.argumentstructs.Rutger.2"
IS1004c.D.argumentstructs.Rutger.4,D,406.09,408.69,"For instance, yeah. African or as an elephant ?",IS1004c.B.argumentstructs.Rutger.3,NONE
IS1004c.C.argumentstructs.Rutger.2,C,409.11,411.83,That we can discuss afterwards.,IS1004c.B.argumentstructs.Rutger.3,IS1004c.A.argumentstructs.Rutger.3
IS1004c.A.argumentstructs.Rutger.3,A,410.266,411.84,Okay.,IS1004c.C.argumentstructs.Rutger.2,NONE
IS1004c.B.argumentstructs.27,B,411.06,412.93,"okay, I'm not, I'm not really sure",NONE,NONE
IS1004c.B.argumentstructs.Rutger.5,B,414.69,428.05,"if uh that would really appeal to everyone though, maybe just to fashion gurus, like maybe just like a little bit n a little fruit picture somewhere in the corner, but I don't know about uh I dunno how ergonomic a, an orange is.",IS1004c.B.argumentstructs.Rutger.2,NONE
IS1004c.D.argumentstructs.Rutger.5,D,426.84,432.62,Well ma maybe we we should further specify what target are we focusing.,NONE,NONE
IS1004c.B.argumentstructs.28,B,440.82,441.22,To fruit ?,NONE,NONE
IS1004c.D.argumentstructs.24,D,452.31,454.9,was was able to,NONE,NONE
IS1004c.D.argumentstructs.Rutger.7,D,456.29,460.24,to buy a a n a cooler remote control.,NONE,IS1004c.B.argumentstructs.Rutger.7
IS1004c.B.argumentstructs.Rutger.7,B,461.08,462.54,But is it uh is fruit cool ?,IS1004c.D.argumentstructs.Rutger.7,IS1004c.D.argumentstructs.Rutger.8
IS1004c.D.argumentstructs.25,D,463.28,463.56,What ?,NONE,NONE
IS1004c.A.argumentstructs.Rutger.4,A,463.92,464.49,That's a question.,NONE,IS1004c.B.argumentstructs.Rutger.8
IS1004c.D.argumentstructs.Rutger.8,D,464.88,465.14,What ?,IS1004c.B.argumentstructs.Rutger.7,NONE
IS1004c.B.argumentstructs.Rutger.8,B,465.38,466.27,Is fruit cool ?,IS1004c.A.argumentstructs.Rutger.4,"IS1004c.D.argumentstructs.Rutger.9, IS1004c.B.argumentstructs.Rutger.10"
IS1004c.D.argumentstructs.26,D,470.76,471.49,Is the new trend,NONE,NONE
IS1004c.D.argumentstructs.Rutger.9,D,472.84,473.696,of the,IS1004c.B.argumentstructs.Rutger.8,NONE
