ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009d.A.argumentstructs.Daan.9,A,1314.19,1321.8,Um I just realised one thing. In the financing there was no room for our voice recogniser.,NONE,IS1009d.A.argumentstructs.Daan.10
IS1009d.D.argumentstructs.24,D,1317.47,1323.04,Yes. Ah.,NONE,NONE
IS1009d.B.argumentstructs.8,B,1322.5,1323.15,Yes.,NONE,NONE
IS1009d.C.argumentstructs.15,C,1323.32,1323.67,Yeah.,NONE,NONE
IS1009d.A.argumentstructs.Daan.10,A,1324.29,1331.81,"And uh I don't know how we can evaluate that or how we can include that, too.",IS1009d.A.argumentstructs.Daan.9,IS1009d.D.argumentstructs.Daan.7
IS1009d.D.argumentstructs.Daan.7,D,1331.43,1335.82,"Well, um we had what, eight eight euros twenty as our cost ?",IS1009d.A.argumentstructs.Daan.10,"IS1009d.A.argumentstructs.Daan.11, IS1009d.C.argumentstructs.Daan.5, IS1009d.D.argumentstructs.Daan.8"
IS1009d.A.argumentstructs.Daan.11,A,1335.54,1337.11,"Eight, eight twenty, yes.",IS1009d.D.argumentstructs.Daan.7,NONE
IS1009d.C.argumentstructs.Daan.5,C,1336.75,1337.651,Eight twenty so,IS1009d.D.argumentstructs.Daan.7,NONE
IS1009d.D.argumentstructs.Daan.8,D,1337.3,1341.07,And so we've got  we've still got four euros to go  to spend.,IS1009d.D.argumentstructs.Daan.7,"IS1009d.C.argumentstructs.Daan.6, IS1009d.A.argumentstructs.Daan.12"
IS1009d.C.argumentstructs.Daan.6,C,1338.22,1340.9,"We have um four euros, yeah",IS1009d.D.argumentstructs.Daan.8,NONE
IS1009d.A.argumentstructs.Daan.12,A,1341.16,1346.16,I mean maximum we have another four point three euros I mean  four thirty.,IS1009d.D.argumentstructs.Daan.8,IS1009d.A.argumentstructs.Daan.13
IS1009d.A.argumentstructs.Daan.13,A,1347.67,1360.83,"But I mean we have no way of presenting that to management as you know as a f finished, as a finished product and saying okay with the voice recogniser that costs so much.",IS1009d.A.argumentstructs.Daan.12,IS1009d.A.argumentstructs.Daan.14
IS1009d.D.argumentstructs.25,D,1360.89,1361.32,Mm-hmm.,NONE,NONE
IS1009d.A.argumentstructs.Daan.14,A,1362.02,1370.85,So um we just have to beware of that. I mean and know whether the four thirty will really cover that.,IS1009d.A.argumentstructs.Daan.13,NONE
IS1009d.C.argumentstructs.16,C,1366.77,1367.24,Yeah.,NONE,NONE
