ae_id,speaker,start_time,end_time,sentence,source,targets
IS1000d.A.argumentstructs.Rutger.23,A,1264.59,1266.83,"Um, 'kay. Innovation.",NONE,IS1000d.A.argumentstructs.Rutger.24
IS1000d.A.argumentstructs.Rutger.24,A,1266.83,1268.4,"The first one, not really muc",IS1000d.A.argumentstructs.Rutger.23,IS1000d.C.argumentstructs.Rutger.11
IS1000d.C.argumentstructs.Rutger.11,C,1268.01,1273.35,"Basically there is no innovation in the first one compared to what exists in the market, right ?",IS1000d.A.argumentstructs.Rutger.24,"IS1000d.D.argumentstructs.Rutger.16, IS1000d.D.argumentstructs.Rutger.17, IS1000d.A.argumentstructs.Rutger.18, IS1000d.A.argumentstructs.Rutger.20"
IS1000d.D.argumentstructs.Rutger.16,D,1273.14,1273.57,No,IS1000d.C.argumentstructs.Rutger.11,NONE
IS1000d.D.argumentstructs.Rutger.17,D,1273.57,1279.577,but except for the design of the surf. You should be rea,IS1000d.C.argumentstructs.Rutger.11,IS1000d.C.argumentstructs.Rutger.12
IS1000d.C.argumentstructs.Rutger.12,C,1275.536,1277.75,Yeah. The surf uh design.,IS1000d.D.argumentstructs.Rutger.17,NONE
IS1000d.A.argumentstructs.68,A,1276.36,1276.57,Mm.,NONE,NONE
IS1000d.B.argumentstructs.41,B,1277.46,1277.71,Mm.,NONE,NONE
IS1000d.A.argumentstructs.Rutger.18,A,1277.99,1283.31,What  What features are we actually including ? Are we including like a location kind of thing like trying to find it ?,IS1000d.C.argumentstructs.Rutger.11,"IS1000d.D.argumentstructs.Rutger.18, IS1000d.A.argumentstructs.Rutger.19"
IS1000d.D.argumentstructs.Rutger.18,D,1280.88,1285.63,Uh no I think it's more of the feel.,IS1000d.A.argumentstructs.Rutger.18,NONE
IS1000d.A.argumentstructs.Rutger.19,A,1284.66,1285.65,There's nothing like that ?,IS1000d.A.argumentstructs.Rutger.18,NONE
