ae_id,speaker,start_time,end_time,sentence,source,targets
TS3005c.B.argumentstructs.Daan.4,B,2008.18,2018.01,Yeah. But then you should also find a place  You could if you do it like this you could put it in a corner or something. You can talk into the corner. Yeah.,NONE,"TS3005c.C.argumentstructs.Daan.10, TS3005c.A.argumentstructs.Daan.6, TS3005c.B.argumentstructs.Daan.5, TS3005c.C.argumentstructs.Daan.11, TS3005c.B.argumentstructs.Daan.6"
TS3005c.D.argumentstructs.30,D,2009.5,2017.63,"Yeah. Yeah, a microphone, yeah.",NONE,NONE
TS3005c.C.argumentstructs.31,C,2015.32,2015.48,Mm.,NONE,NONE
TS3005c.C.argumentstructs.Daan.10,C,2017.549,2027.87,"Not even necessary, because a lotta  you can make a very sensitive microphone, so it makes it possible to uh  just put it arou uh underneath it or on the on the bottom of the uh remote",TS3005c.B.argumentstructs.Daan.4,NONE
TS3005c.A.argumentstructs.21,A,2018.68,2018.96,Mm-hmm.,NONE,NONE
TS3005c.A.argumentstructs.Daan.6,A,2027.46,2032.6,Yeah maybe at the bottom where you can can hel hold it with you hand that there's also a microphone uh,TS3005c.B.argumentstructs.Daan.4,NONE
TS3005c.C.argumentstructs.32,C,2027.87,2033.44,. Yeah. Right.,NONE,NONE
TS3005c.B.argumentstructs.18,B,2031.73,2031.73,.,NONE,NONE
TS3005c.A.argumentstructs.22,A,2033.7,2036.21,"over there. Yeah, yeah.",NONE,NONE
TS3005c.B.argumentstructs.Daan.5,B,2034.28,2036.14,"So, in the middle or something.",TS3005c.B.argumentstructs.Daan.4,NONE
TS3005c.C.argumentstructs.Daan.11,C,2034.83,2040.12,"But that's not import I think that's not im very important because yeah, it doesn't matter where the microphone is.",TS3005c.B.argumentstructs.Daan.4,NONE
TS3005c.B.argumentstructs.Daan.6,B,2039.654,2043.728,but you should uh decide where you want to put it. Right ?,TS3005c.B.argumentstructs.Daan.4,"TS3005c.C.argumentstructs.Daan.12, TS3005c.D.argumentstructs.Daan.10, TS3005c.B.argumentstructs.Daan.7, TS3005c.A.argumentstructs.Daan.7, TS3005c.D.argumentstructs.Daan.15"
TS3005c.C.argumentstructs.33,C,2042.1,2043.91,"Ah okay, sure, okay, well tha",NONE,NONE
TS3005c.D.argumentstructs.Daan.10,D,2044.9,2050.1,Um I think where it isn't seen the most.,TS3005c.B.argumentstructs.Daan.6,"TS3005c.C.argumentstructs.Daan.13, TS3005c.D.argumentstructs.Daan.11"
TS3005c.C.argumentstructs.Daan.12,C,2045.43,2045.69,Underneath ?,TS3005c.B.argumentstructs.Daan.6,NONE
TS3005c.C.argumentstructs.Daan.13,C,2049.6,2053.33,Indeed. It shouldn't be uh very uh visible,TS3005c.D.argumentstructs.Daan.10,NONE
TS3005c.D.argumentstructs.Daan.11,D,2052.35,2053.22,Inside.,TS3005c.D.argumentstructs.Daan.10,NONE
TS3005c.B.argumentstructs.Daan.7,B,2052.38,2056.48,You could p you could put it in a logo of the company.,TS3005c.B.argumentstructs.Daan.6,NONE
TS3005c.A.argumentstructs.Daan.7,A,2055.3,2058.92,Yeah. Well maybe just in the the spot you just pointed out,TS3005c.B.argumentstructs.Daan.6,"TS3005c.D.argumentstructs.Daan.12, TS3005c.A.argumentstructs.Daan.8, TS3005c.B.argumentstructs.Daan.8"
TS3005c.D.argumentstructs.Daan.12,D,2055.398,2058.53,Yeah. I i between the round of the R_.,TS3005c.A.argumentstructs.Daan.7,NONE
TS3005c.B.argumentstructs.19,B,2058.78,2060.44,Yeah.,NONE,NONE
TS3005c.D.argumentstructs.31,D,2059.8,2078.86,"Yeah. Yeah, okay. Yeah. Yeah bu but",NONE,NONE
TS3005c.A.argumentstructs.Daan.8,A,2060.03,2067.61,"because I think it should be in a in an important position where people can see it, because it is the the unique uh idea of our remote, huh, the the speech control.",TS3005c.A.argumentstructs.Daan.7,"TS3005c.B.argumentstructs.Daan.9, TS3005c.B.argumentstructs.Daan.10"
TS3005c.B.argumentstructs.Daan.8,B,2067.09,2068.83,Yeah. So where do you want to put it ?,TS3005c.A.argumentstructs.Daan.7,NONE
TS3005c.A.argumentstructs.23,A,2069.17,2071.35,Well maybe where the one hand,NONE,NONE
TS3005c.B.argumentstructs.Daan.9,B,2072.66,2077.09,Yeah actually it does  because it you can you can find it better if you use it.,TS3005c.A.argumentstructs.Daan.8,NONE
TS3005c.B.argumentstructs.20,B,2078.29,2079.86,It's a way for you to uh,NONE,NONE
TS3005c.C.argumentstructs.34,C,2080.08,2084.7,"Uh. Yeah, okay.",NONE,NONE
TS3005c.B.argumentstructs.Daan.10,B,2081.11,2083.51,So it makes more sense just 'cause other remotes don't have that.,TS3005c.A.argumentstructs.Daan.8,NONE
TS3005c.A.argumentstructs.Daan.10,A,2084.88,2087.7,"But are we talking about the button, or about the microphone ?",NONE,"TS3005c.B.argumentstructs.Daan.11, TS3005c.A.argumentstructs.Daan.11, TS3005c.B.argumentstructs.Daan.11"
TS3005c.B.argumentstructs.Daan.11,B,2087.12,2088.47,"About a microphone, there is no button.",TS3005c.A.argumentstructs.Daan.10,NONE
TS3005c.A.argumentstructs.Daan.11,A,2087.7,2095.79,"Yeah because a microphone is very small thing, but you can make it look like it's big so as its its really an important function of the remote.",TS3005c.A.argumentstructs.Daan.10,NONE
TS3005c.B.argumentstructs.21,B,2091.7,2107.82,Yeah. Yeah.,NONE,NONE
TS3005c.D.argumentstructs.Daan.15,D,2097.99,2107.02,I think the left s under corner should be the best. Where isn't  i it isn't most in sight.,TS3005c.B.argumentstructs.Daan.6,TS3005c.C.argumentstructs.Daan.14
TS3005c.C.argumentstructs.Daan.14,C,2109.37,2115.06,Okay. Well put it there. I don't mind.  That doesn't doesn't really matter.,TS3005c.D.argumentstructs.Daan.15,"TS3005c.D.argumentstructs.Daan.16, TS3005c.C.argumentstructs.Daan.15"
TS3005c.D.argumentstructs.32,D,2109.72,2110.08,I think.,NONE,NONE
TS3005c.D.argumentstructs.Daan.16,D,2115.48,2117.52,No. Actually doesn't.,TS3005c.C.argumentstructs.Daan.14,NONE
TS3005c.C.argumentstructs.Daan.15,C,2118.6,2120.3,Okay. So ?,TS3005c.C.argumentstructs.Daan.14,TS3005c.B.argumentstructs.Daan.12
TS3005c.B.argumentstructs.Daan.12,B,2119.37,2119.69,Alright.,TS3005c.C.argumentstructs.Daan.15,NONE
