ae_id,speaker,start_time,end_time,sentence,source,targets
ES2004d.B.argumentstructs.Erik.1,B,1216.97,1220.35,"Um we've got plastic and rubber, haven't we ?",NONE,"ES2004d.C.argumentstructs.Erik.1, ES2004d.A.argumentstructs.Erik.1"
ES2004d.C.argumentstructs.8,C,1217.76,1218.46,a plastic.,NONE,NONE
ES2004d.C.argumentstructs.Erik.1,C,1220.58,1220.8,Yeah.,ES2004d.B.argumentstructs.Erik.1,NONE
ES2004d.A.argumentstructs.Erik.1,A,1221.03,1224.45,Yeah. Plastic one and maybe rubber point five.,ES2004d.B.argumentstructs.Erik.1,"ES2004d.C.argumentstructs.Erik.2, ES2004d.D.argumentstructs.Erik.1"
ES2004d.C.argumentstructs.Erik.2,C,1223.18,1224.13,And special colour.,ES2004d.A.argumentstructs.Erik.1,ES2004d.A.argumentstructs.Erik.2
ES2004d.B.argumentstructs.8,B,1225.458,1228.14,. Um,NONE,NONE
ES2004d.A.argumentstructs.Erik.2,A,1227.56,1230.99,"No I think rubber, since it's being used just as a casing, we can put point five.",ES2004d.C.argumentstructs.Erik.2,"ES2004d.C.argumentstructs.Erik.3, ES2004d.B.argumentstructs.Erik.2"
ES2004d.C.argumentstructs.Erik.3,C,1232.31,1233.05,Yeah.,ES2004d.A.argumentstructs.Erik.2,NONE
ES2004d.B.argumentstructs.Erik.2,B,1232.9,1233.29,Do you think ?,ES2004d.A.argumentstructs.Erik.2,"ES2004d.A.argumentstructs.Erik.3, ES2004d.A.argumentstructs.Erik.4"
ES2004d.A.argumentstructs.Erik.3,A,1233.49,1234.432,"Yeah, because there are",ES2004d.B.argumentstructs.Erik.2,NONE
ES2004d.A.argumentstructs.Erik.4,A,1235.49,1238.94,"I think it allows the point five, yeah. We can use that.",ES2004d.B.argumentstructs.Erik.2,"ES2004d.C.argumentstructs.Erik.4, ES2004d.B.argumentstructs.Erik.3"
ES2004d.C.argumentstructs.Erik.4,C,1239.12,1239.8,Yeah.,ES2004d.A.argumentstructs.Erik.4,NONE
ES2004d.B.argumentstructs.Erik.3,B,1239.32,1239.72,Okay.,ES2004d.A.argumentstructs.Erik.4,NONE
ES2004d.D.argumentstructs.Erik.1,D,1240.69,1242.47,What does it mean if you put point five for that ?,ES2004d.A.argumentstructs.Erik.1,"ES2004d.A.argumentstructs.Erik.5, ES2004d.B.argumentstructs.Erik.4"
ES2004d.A.argumentstructs.Erik.5,A,1242.52,1249.56,It means we are not using a lot of rubber actually. We're using just a very low quantity of rubber compared to plastic.,ES2004d.D.argumentstructs.Erik.1,ES2004d.B.argumentstructs.Erik.5
ES2004d.B.argumentstructs.Erik.4,B,1244.84,1246.48,It would be like saying we're using,ES2004d.D.argumentstructs.Erik.1,NONE
ES2004d.B.argumentstructs.9,B,1250.74,1252.62,"See, it says case material.",NONE,NONE
ES2004d.D.argumentstructs.4,D,1253.4,1253.76,Mm-hmm.,NONE,NONE
ES2004d.B.argumentstructs.Erik.5,B,1253.86,1260.08,"So we're not actually using plastic in the case, are we ? It's including, it's including.",ES2004d.A.argumentstructs.Erik.5,ES2004d.C.argumentstructs.Erik.5
ES2004d.C.argumentstructs.Erik.5,C,1257.14,1259.31,"No, no, that's  it's as an extra.",ES2004d.B.argumentstructs.Erik.5,"ES2004d.D.argumentstructs.Erik.2, ES2004d.C.argumentstructs.Erik.6"
ES2004d.D.argumentstructs.Erik.2,D,1259.48,1260.93,"Right, okay.",ES2004d.C.argumentstructs.Erik.5,NONE
ES2004d.C.argumentstructs.Erik.6,C,1260.45,1266.79,"So that shouldn't that shouldn't be actually on there, because that's not incorporated in the cost of the remote you get.",ES2004d.C.argumentstructs.Erik.5,ES2004d.D.argumentstructs.Erik.3
ES2004d.D.argumentstructs.Erik.3,D,1267.28,1276.76,"But it is gonna be part of the total cost, and there's nowhere else we can we can put that in, is there ? There's nowhere else we can code for the the rubber used in the casing. So do we not have to account for it in the cost somewhere there ?",ES2004d.C.argumentstructs.Erik.6,"ES2004d.B.argumentstructs.Erik.6, ES2004d.B.argumentstructs.Erik.7"
ES2004d.B.argumentstructs.Erik.6,B,1278.4,1281.24,"Okay, we'll just put it in as we'll put in as half.",ES2004d.D.argumentstructs.Erik.3,NONE
ES2004d.D.argumentstructs.5,D,1281.25,1281.47,Okay.,NONE,NONE
ES2004d.B.argumentstructs.Erik.7,B,1283.57,1286.37,"Or sh we should just put it in as one, because the plastic is zero anyway.",ES2004d.D.argumentstructs.Erik.3,ES2004d.C.argumentstructs.Erik.7
ES2004d.C.argumentstructs.Erik.7,C,1286.34,1287.64,"Yeah, okay.",ES2004d.B.argumentstructs.Erik.7,NONE
