ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.D.argumentstructs.Rutger.21,D,156.36,178.58,"Well  uh what comes up for me is that if we're gonna if we're gonna be marketing a product that is going to be uh having  no teletext, people are very comfortable  with  the idea of having teletext and using teletext, and so we're not  we're gonna be a new product without something that people are very comfortable having right now.",NONE,"IS1002b.A.argumentstructs.Rutger.23, IS1002b.D.argumentstructs.Rutger.22, IS1002b.D.argumentstructs.Rutger.24, IS1002b.A.argumentstructs.Rutger.27"
IS1002b.A.argumentstructs.51,A,161.57,167.2,Mm. Mm.,NONE,NONE
IS1002b.A.argumentstructs.Rutger.23,A,172.04,172.39,Yep.,IS1002b.D.argumentstructs.Rutger.21,NONE
IS1002b.D.argumentstructs.Rutger.22,D,178.97,189.648,"So that's, from a marketing perspective I I see I see a lack. And so we have to go, I think, in the other direction. What are we gonna have that makes this thing better than",IS1002b.D.argumentstructs.Rutger.21,IS1002b.A.argumentstructs.Rutger.24
IS1002b.A.argumentstructs.52,A,180.8,181.07,Mm.,NONE,NONE
IS1002b.A.argumentstructs.Rutger.24,A,189.08,198.85,"Well tha that first point could uh also be an op opportunity because in seeing that teletext is becoming outdated, some sort remote control that can work with the Internet   there is the opportunity that's presented, I guess.",IS1002b.D.argumentstructs.Rutger.22,IS1002b.D.argumentstructs.Rutger.23
IS1002b.D.argumentstructs.Rutger.23,D,197.53,200.09,"Right. Yeah. No, I I agree with you.",IS1002b.A.argumentstructs.Rutger.24,NONE
IS1002b.D.argumentstructs.Rutger.24,D,200.09,215.04,"So what I'm talking about is I see that one side we're eliminating something so we have to come up with another side which is, what are we gonna be targeting our market uh that  identifies our product as better than  because it doesn't have teletext it has ta-ta-ta-ta-ta. So that's that's that was my reactions",IS1002b.D.argumentstructs.Rutger.21,"IS1002b.A.argumentstructs.Rutger.25, IS1002b.A.argumentstructs.Rutger.26"
IS1002b.A.argumentstructs.53,A,200.33,213.61,Okay. Okay.,NONE,NONE
IS1002b.D.argumentstructs.42,D,215.04,218.39,. Yeah yeah.,NONE,NONE
IS1002b.A.argumentstructs.Rutger.25,A,215.09,215.36,Yeah.,IS1002b.D.argumentstructs.Rutger.24,NONE
IS1002b.A.argumentstructs.Rutger.26,A,215.36,228.72,"but but we are sort of being dictated that this should only be for the television. So we're quite fixed. So we're really probably, in terms of marketing, are looking for that's uh that's a cost winner rather than a fantastic new feature product. Yeah.",IS1002b.D.argumentstructs.Rutger.24,"IS1002b.D.argumentstructs.Rutger.25, IS1002b.C.argumentstructs.Rutger.18"
IS1002b.D.argumentstructs.Rutger.25,D,220.39,220.53,Yep.,IS1002b.A.argumentstructs.Rutger.26,NONE
IS1002b.D.argumentstructs.43,D,228.26,228.57,Okay.,NONE,NONE
IS1002b.C.argumentstructs.28,C,228.51,236.45,"Yeah bu but we we're designing only the remote, we not design the T_V_. So uh we're gonna be removing the teletext out of any T_V_",NONE,NONE
IS1002b.A.argumentstructs.54,A,232.29,240.14,Hmm. Hmm.,NONE,NONE
IS1002b.D.argumentstructs.Rutger.26,D,237.3,238.02,Yeah. 'Kay.,IS1002b.C.argumentstructs.Rutger.18,NONE
IS1002b.C.argumentstructs.Rutger.18,C,237.31,239.29,that we  people use our remote with.,IS1002b.A.argumentstructs.Rutger.26,"IS1002b.D.argumentstructs.Rutger.26, IS1002b.D.argumentstructs.Rutger.27, IS1002b.C.argumentstructs.Rutger.19"
IS1002b.D.argumentstructs.Rutger.27,D,239.57,241.07,That's right. I think we take with you.,IS1002b.C.argumentstructs.Rutger.18,NONE
IS1002b.C.argumentstructs.Rutger.19,C,240.32,242.18,So it's kind of a stupid decision.,IS1002b.C.argumentstructs.Rutger.18,NONE
IS1002b.A.argumentstructs.Rutger.27,A,241.66,253.77,"But there's also the potential for mark there's a market here for our lost teletext. For example someone that just goes to the shop that wants a replacement  wants it as  cheap as possible. Twenty-five Euros is the selling price, we really have to innovate here I guess",IS1002b.D.argumentstructs.Rutger.21,"IS1002b.B.argumentstructs.Rutger.20, IS1002b.D.argumentstructs.Rutger.28"
IS1002b.B.argumentstructs.Rutger.20,B,242.12,242.29,Right.,IS1002b.A.argumentstructs.Rutger.27,NONE
IS1002b.A.argumentstructs.55,A,253.77,265.33,. Mm.,NONE,NONE
IS1002b.D.argumentstructs.Rutger.28,D,254.15,272.75,"That's what I'm that's what I'm talking about is is that we have to find something that is gonna be very attractive about this product 'cause somebody, some people are gonna be hap unhappy 'cause it took  they can't ac access their teletext. Okay. 'Cause we're talking about  eighty percent or ninety percent or ninety-five percent of the televisions out there are are teletext.",IS1002b.A.argumentstructs.Rutger.27,"IS1002b.A.argumentstructs.Rutger.28, IS1002b.D.argumentstructs.Rutger.29"
IS1002b.A.argumentstructs.Rutger.28,A,274.4,274.65,K yeah.,IS1002b.D.argumentstructs.Rutger.28,NONE
IS1002b.D.argumentstructs.Rutger.29,D,274.66,289.18,"So so it's it's not that I'm criticizing the product at all. It's just when we eliminate that then what do we bring ? What are we bringing in to take the place of this, and we have to d  in my opinion we have to double up. If we lose one we need to bring two or three.",IS1002b.D.argumentstructs.Rutger.28,IS1002b.A.argumentstructs.Rutger.29
IS1002b.A.argumentstructs.Rutger.29,A,283.95,284.22,Mm 'kay.,IS1002b.D.argumentstructs.Rutger.29,NONE
