ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004a.D.argumentstructs.Daan.1,D,779.04,784.35,"Yeah, my first question was does it have to be a  a universal remote control ?",NONE,"TS3004a.D.argumentstructs.Daan.2, TS3004a.A.argumentstructs.Daan.1, TS3004a.C.argumentstructs.Daan.1, TS3004a.B.argumentstructs.Daan.1, TS3004a.A.argumentstructs.Daan.2, TS3004a.C.argumentstructs.Daan.2, TS3004a.A.argumentstructs.Daan.3"
TS3004a.A.argumentstructs.11,A,784.51,785.97,"Oh yeah, that's a good question.",NONE,NONE
TS3004a.D.argumentstructs.Daan.2,D,786.41,794.78,"Because we sell it uh uh uh lonely from the t and not with the television, we sell it uh apart",TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.A.argumentstructs.Daan.1,A,795.89,799.451,"I think it's  I'm not I'm not sure, it's not mm  I think",TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.C.argumentstructs.Daan.1,C,798.37,800.96,"Yeah, it probably would be universal.",TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.B.argumentstructs.Daan.1,B,800.24,804.83,Universal. And only television ? Or more devices ?,TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.D.argumentstructs.9,D,800.4,800.89,Because,NONE,NONE
TS3004a.A.argumentstructs.Daan.2,A,804.74,811.344,"I don't think you can buy a a a universal uh remote control for twenty five Euros, so  not sure, but",TS3004a.D.argumentstructs.Daan.1,TS3004a.D.argumentstructs.Daan.3
TS3004a.C.argumentstructs.Daan.2,C,811.88,813.06,"Hmm, maybe, I don't know.",TS3004a.D.argumentstructs.Daan.1,NONE
TS3004a.D.argumentstructs.Daan.3,D,812.16,817.99,"Yeah, I know uh you can buy a re a universal uh control for uh only twenty uh Euros",TS3004a.A.argumentstructs.Daan.2,NONE
TS3004a.A.argumentstructs.Daan.3,A,815.94,820.37,"Okay, so we we just say we just say that's universal remote control. Okay, perfect.",TS3004a.D.argumentstructs.Daan.1,"TS3004a.D.argumentstructs.Daan.4, TS3004a.C.argumentstructs.Daan.3"
TS3004a.D.argumentstructs.Daan.4,D,818.99,819.81,"Yeah, I think.",TS3004a.A.argumentstructs.Daan.3,NONE
TS3004a.B.argumentstructs.6,B,819.31,819.82,Ah okay.,NONE,NONE
TS3004a.C.argumentstructs.Daan.3,C,821.38,827.86,And uh also for the V_C_R_ and uh D_V_D_ player and  okay.,TS3004a.A.argumentstructs.Daan.3,"TS3004a.A.argumentstructs.Daan.4, TS3004a.B.argumentstructs.Daan.2"
TS3004a.A.argumentstructs.Daan.4,A,826.34,830.97,"Yeah, everything just  so a lot of buttons  on the remote control.",TS3004a.C.argumentstructs.Daan.3,TS3004a.C.argumentstructs.Daan.4
TS3004a.C.argumentstructs.Daan.4,C,830.267,832.15,"Yeah, probably.",TS3004a.A.argumentstructs.Daan.4,NONE
TS3004a.B.argumentstructs.Daan.2,B,832.14,833.17,Not just a T_V_.,TS3004a.C.argumentstructs.Daan.3,TS3004a.A.argumentstructs.Daan.5
TS3004a.A.argumentstructs.Daan.5,A,833.57,834.42,"No, just everything.",TS3004a.B.argumentstructs.Daan.2,NONE
TS3004a.B.argumentstructs.7,B,834.67,835.06,Okay.,NONE,NONE
