ae_id,speaker,start_time,end_time,sentence,source,targets
ES2010c.A.argumentstructs.Erik.1,A,1101.56,1105.02,"Okay, so what kind of material do we want to be made out of ?",NONE,"ES2010c.B.argumentstructs.Erik.1, ES2010c.C.argumentstructs.Erik.1, ES2010c.A.argumentstructs.Erik.2"
ES2010c.B.argumentstructs.21,B,1101.57,1102.49,Pieces everywhere.,NONE,NONE
ES2010c.B.argumentstructs.Erik.1,B,1105.52,1108.48,"Well, we have lots of options. I don't think wood is a viable option.",ES2010c.A.argumentstructs.Erik.1,ES2010c.D.argumentstructs.Erik.1
ES2010c.D.argumentstructs.Erik.1,D,1107.69,1108.55,Yeah wood.,ES2010c.B.argumentstructs.Erik.1,NONE
ES2010c.C.argumentstructs.23,C,1109.6,1114.45,"Well, titanium s I was saying that titanium, if we're being restricted then",NONE,NONE
ES2010c.A.argumentstructs.29,A,1110.77,1111.49,"Oh sorry, go ahead.",NONE,NONE
ES2010c.C.argumentstructs.Erik.1,C,1116.05,1117.94,I would probably  lean away from that.,ES2010c.A.argumentstructs.Erik.1,ES2010c.D.argumentstructs.Erik.2
ES2010c.D.argumentstructs.Erik.2,D,1118.31,1121.42,"Yeah, 'cause if it's gonna cost us more to produce a chip, titanium will be more expensive.",ES2010c.C.argumentstructs.Erik.1,NONE
ES2010c.A.argumentstructs.Erik.2,A,1121.64,1123.92,Right. What would you recommend ?,ES2010c.A.argumentstructs.Erik.1,"ES2010c.B.argumentstructs.Erik.2, ES2010c.A.argumentstructs.Erik.4"
ES2010c.B.argumentstructs.Erik.2,B,1122.24,1134.18,"However, well, we only wanna sell it for twenty five Euro right ? 'Cause I was thinking if we wanted to get the high in market then you could produce a few in titanium, make them a rarity so to speak.",ES2010c.A.argumentstructs.Erik.2,"ES2010c.D.argumentstructs.Erik.3, ES2010c.C.argumentstructs.Erik.2, ES2010c.C.argumentstructs.Erik.3, ES2010c.D.argumentstructs.Erik.4, ES2010c.C.argumentstructs.Erik.4, ES2010c.A.argumentstructs.Erik.3"
ES2010c.D.argumentstructs.Erik.3,D,1124.08,1124.4,Yeah.,ES2010c.B.argumentstructs.Erik.2,NONE
ES2010c.C.argumentstructs.Erik.2,C,1126.98,1127.44,Yeah.,ES2010c.B.argumentstructs.Erik.2,NONE
ES2010c.C.argumentstructs.24,C,1129.36,1130.14,"Yeah, exactly.",NONE,NONE
ES2010c.C.argumentstructs.Erik.3,C,1133.16,1134.34,"The selling point, yeah.",ES2010c.B.argumentstructs.Erik.2,NONE
ES2010c.D.argumentstructs.Erik.4,D,1133.72,1140.003,"We could do that, because all our research shows that people are definitely willing to spend more if",ES2010c.B.argumentstructs.Erik.2,NONE
ES2010c.C.argumentstructs.Erik.4,C,1139.06,1140.61,Are we restricted by this ?,ES2010c.B.argumentstructs.Erik.2,ES2010c.B.argumentstructs.Erik.3
ES2010c.B.argumentstructs.Erik.3,B,1139.23,1139.57,Yeah.,ES2010c.C.argumentstructs.Erik.4,NONE
ES2010c.B.argumentstructs.22,B,1142.5,1144.01,Well the original,NONE,NONE
ES2010c.C.argumentstructs.25,C,1143.12,1143.91,Twenty five Euros,NONE,NONE
ES2010c.B.argumentstructs.Erik.4,B,1147.57,1147.89,Okay.,ES2010c.A.argumentstructs.Erik.3,NONE
ES2010c.A.argumentstructs.30,A,1150.77,1151.9,produce a whole array of,NONE,NONE
ES2010c.A.argumentstructs.Erik.3,A,1153.28,1160.17,"remotes. If this was a successful remote, we might then produce a higher end version of it, I think.",ES2010c.B.argumentstructs.Erik.2,"ES2010c.B.argumentstructs.Erik.4, ES2010c.B.argumentstructs.Erik.5, ES2010c.D.argumentstructs.Erik.5"
ES2010c.B.argumentstructs.Erik.5,B,1160.49,1161.75,Yeah. Good plan.,ES2010c.A.argumentstructs.Erik.3,NONE
ES2010c.D.argumentstructs.Erik.5,D,1160.56,1160.94,Good plan.,ES2010c.A.argumentstructs.Erik.3,NONE
ES2010c.A.argumentstructs.Erik.4,A,1162.42,1166.71,"Okay, so we wanna go for plastic, or what would you recommend for materials ?",ES2010c.A.argumentstructs.Erik.2,ES2010c.B.argumentstructs.Erik.6
ES2010c.B.argumentstructs.Erik.6,B,1167.11,1198.384,"Honestly I'd recommend like um  uh since we're going with batteries instead of solar power, I'd recommend maybe a uh soft like latex, because we could produce, you know how cellphones have those overlays that you can change the colour. We could do uh one that fits in with the trends of the year so, because this year is all fruit, God only knows why, um we could do f a cherry cover for this year and then i if next year is stripes or solids, you know",ES2010c.A.argumentstructs.Erik.4,"ES2010c.D.argumentstructs.Erik.6, ES2010c.A.argumentstructs.Erik.5, ES2010c.C.argumentstructs.Erik.5, ES2010c.D.argumentstructs.Erik.10"
ES2010c.D.argumentstructs.27,D,1182.82,1183.72,Oh.,NONE,NONE
ES2010c.A.argumentstructs.31,A,1182.88,1184.64,Mm-hmm. Mm.,NONE,NONE
ES2010c.D.argumentstructs.Erik.6,D,1189.26,1190.84,"Yeah, who knows.",ES2010c.B.argumentstructs.Erik.6,NONE
ES2010c.A.argumentstructs.Erik.5,A,1198.8,1199.19,Okay.,ES2010c.B.argumentstructs.Erik.6,NONE
ES2010c.C.argumentstructs.Erik.5,C,1198.95,1207.14,So you're talking about like when it leaves our salesroom then it's all gonna be cherry-coloured or is it gonna be the kinda thing where people come back and swap it ?,ES2010c.B.argumentstructs.Erik.6,"ES2010c.D.argumentstructs.Erik.7, ES2010c.A.argumentstructs.Erik.7, ES2010c.B.argumentstructs.Erik.7"
ES2010c.D.argumentstructs.Erik.7,D,1206.09,1207.95,O or we could like take off this.,ES2010c.C.argumentstructs.Erik.5,NONE
ES2010c.A.argumentstructs.32,A,1206.87,1213.87,"They could buy cases, maybe, if they wanted. I think it's good to sell a basic thing and then sell",NONE,NONE
ES2010c.B.argumentstructs.Erik.7,B,1207.11,1224.19,"They could come back. And buy the extra case. So we could do like a b a hard base plastic, and then we could  give two latex covers to start.",ES2010c.C.argumentstructs.Erik.5,"ES2010c.C.argumentstructs.Erik.6, ES2010c.D.argumentstructs.Erik.8, ES2010c.C.argumentstructs.Erik.7"
ES2010c.C.argumentstructs.Erik.6,C,1210.27,1210.94,Okay.,ES2010c.B.argumentstructs.Erik.7,NONE
ES2010c.A.argumentstructs.Erik.7,A,1214.91,1215.45,options.,ES2010c.C.argumentstructs.Erik.5,NONE
ES2010c.D.argumentstructs.Erik.8,D,1217.12,1217.64,Yeah.,ES2010c.B.argumentstructs.Erik.7,NONE
ES2010c.C.argumentstructs.Erik.7,C,1219.42,1221.94,"The  what the top face, right ?",ES2010c.B.argumentstructs.Erik.7,"ES2010c.D.argumentstructs.Erik.9, ES2010c.A.argumentstructs.Erik.8"
ES2010c.D.argumentstructs.Erik.9,D,1221.42,1221.87,Yeah.,ES2010c.C.argumentstructs.Erik.7,NONE
ES2010c.A.argumentstructs.Erik.8,A,1222.01,1223.55,Okay. Okay.,ES2010c.C.argumentstructs.Erik.7,NONE
ES2010c.D.argumentstructs.Erik.10,D,1225.63,1233.08,"Yeah, because the soft latex definitely is squishy. That's in. Well I mean squishier than like, yeah, just a hard plastic.",ES2010c.B.argumentstructs.Erik.6,ES2010c.A.argumentstructs.Erik.9
ES2010c.A.argumentstructs.Erik.9,A,1230.95,1232.3,Right. Right.,ES2010c.D.argumentstructs.Erik.10,NONE
