ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006b.D.argumentstructs.Daan.8,D,1660.14,1665.29,Uh and then you can select uh a number in your remote on which you want to save it.,NONE,TS3006b.A.argumentstructs.Daan.8
TS3006b.A.argumentstructs.Daan.8,A,1663.48,1666.84,Yeah so I've g channel program is autoseek ?,TS3006b.D.argumentstructs.Daan.8,TS3006b.D.argumentstructs.Daan.9
TS3006b.D.argumentstructs.Daan.9,D,1667.17,1668.41,"Yeah, autoseek.",TS3006b.A.argumentstructs.Daan.8,TS3006b.A.argumentstructs.Daan.9
TS3006b.A.argumentstructs.Daan.9,A,1668.611,1673.086,"Uh name a channel, or",TS3006b.D.argumentstructs.Daan.9,TS3006b.D.argumentstructs.Daan.10
TS3006b.D.argumentstructs.Daan.10,D,1673.45,1677.97,"Well most T_V_s automatically display the name, which they get through the cable.",TS3006b.A.argumentstructs.Daan.9,TS3006b.D.argumentstructs.Daan.11
TS3006b.D.argumentstructs.Daan.11,D,1679.91,1693.05,"Yeah. So you only have to choose the position on your It only has to match the the channel frequency on your T_V_, with with the with the position on your T_V_ and and so your remote.",TS3006b.D.argumentstructs.Daan.10,TS3006b.A.argumentstructs.Daan.10
TS3006b.A.argumentstructs.16,A,1686.645,1688.59,. Yeah.,NONE,NONE
TS3006b.A.argumentstructs.Daan.10,A,1693.0,1698.814,Yeah but can you also say I want f uh Veronica on the channel number uh five or,TS3006b.D.argumentstructs.Daan.11,TS3006b.D.argumentstructs.Daan.12
TS3006b.C.argumentstructs.12,C,1693.43,1693.72,Help.,NONE,NONE
TS3006b.D.argumentstructs.Daan.12,D,1698.67,1706.91,If you already programmed it. If you want to move it. Yeah that should be possible too. Yeah how do you call that ? Mm ?,TS3006b.A.argumentstructs.Daan.10,"TS3006b.D.argumentstructs.Daan.13, TS3006b.A.argumentstructs.Daan.11"
TS3006b.A.argumentstructs.17,A,1700.63,1705.94,Yeah. Yeah. How do you call that ?,NONE,NONE
TS3006b.D.argumentstructs.Daan.13,D,1708.55,1729.67,"Wait you you should be able to to browse through a list or something, which w displays all the all the values, all the channels which are possible. I mean like one to f thirty of or ninety or whatever. Just browse through it and then um in some kind of way see if it if it if it is programmed.",TS3006b.D.argumentstructs.Daan.12,NONE
TS3006b.A.argumentstructs.Daan.11,A,1715.93,1730.69,Channels ? Yeah. Ninety nine or something. Yeah. S swap channels ?,TS3006b.D.argumentstructs.Daan.12,TS3006b.D.argumentstructs.Daan.14
TS3006b.A.argumentstructs.Daan.12,A,1731.4,1737.12,Can I call it that ? Swap's good option. Okay. Uh other functions ?,TS3006b.D.argumentstructs.Daan.14,NONE
TS3006b.D.argumentstructs.Daan.14,D,1731.4,1733.77,Yeah. Swap channels.,TS3006b.A.argumentstructs.Daan.11,"TS3006b.A.argumentstructs.Daan.12, TS3006b.D.argumentstructs.Daan.15"
TS3006b.D.argumentstructs.Daan.15,D,1736.07,1756.9,"So you  most of the time if you if you swap it  S uh let's say for example you have uh R_T_L_ five on on channel five. And Veronica on channel eight and you want to move Veronica to channel five, um most of the times you override the previous uh the previous one.",TS3006b.D.argumentstructs.Daan.14,NONE
TS3006b.A.argumentstructs.18,A,1756.58,1756.96,Okay.,NONE,NONE
