ae_id,speaker,start_time,end_time,sentence,source,targets
TS3006c.B.argumentstructs.Daan.6,B,1726.59,1730.031,And which which colour should uh should I give the the display ? Uh,NONE,"TS3006c.D.argumentstructs.Daan.11, TS3006c.C.argumentstructs.Daan.16, TS3006c.B.argumentstructs.Daan.7, TS3006c.D.argumentstructs.Daan.13, TS3006c.C.argumentstructs.Daan.18"
TS3006c.A.argumentstructs.39,A,1731.32,1731.73,Who ?,NONE,NONE
TS3006c.D.argumentstructs.Daan.11,D,1732.77,1753.73,"I mean, the the colour of the background of the display ? Ah well I don't guess it s has to be a sixty uh sixty six  five thousand uh colour, so yeah too expensive. So just just a  a blue blue backlight or something like that. Green is too old-fashioned. But blue, blue's okay. J",TS3006c.B.argumentstructs.Daan.6,TS3006c.A.argumentstructs.Daan.17
TS3006c.B.argumentstructs.21,B,1734.44,1748.67,Yeah. Yeah. Yeah. Mm. Yeah.,NONE,NONE
TS3006c.A.argumentstructs.Daan.17,A,1737.75,1739.75,And then you can use yellow or semething.,TS3006c.D.argumentstructs.Daan.11,NONE
TS3006c.A.argumentstructs.40,A,1744.52,1777.57,Aye. Like this. Colourblind yeah.,NONE,NONE
TS3006c.C.argumentstructs.Daan.16,C,1752.56,1760.68,As long as you loo  use uh high contrast between the the background and the foreground colour. So that people with uh with,TS3006c.B.argumentstructs.Daan.6,TS3006c.C.argumentstructs.Daan.17
TS3006c.B.argumentstructs.Daan.7,B,1758.36,1761.55,Yeah maybe a maybe a white a white backlight ?,TS3006c.B.argumentstructs.Daan.6,TS3006c.D.argumentstructs.Daan.12
TS3006c.D.argumentstructs.32,D,1762.36,1763.61,"White backlight, and dark.",NONE,NONE
TS3006c.B.argumentstructs.22,B,1764.24,1773.99,"Dark uh letters, yeah. Yeah. Yeah.",NONE,NONE
TS3006c.D.argumentstructs.Daan.12,D,1765.72,1775.09,Yeah. Whatever which is visible. I know you sh you should test it under uh under a light conditions. I mean it's hard to tell uh I dunno.,TS3006c.B.argumentstructs.Daan.7,NONE
TS3006c.C.argumentstructs.Daan.17,C,1774.14,1777.38,And also for people who are a bit colourblind.,TS3006c.C.argumentstructs.Daan.16,TS3006c.A.argumentstructs.Daan.18
TS3006c.D.argumentstructs.33,D,1777.94,1779.43,Yeah. True.,NONE,NONE
TS3006c.A.argumentstructs.Daan.18,A,1778.7,1781.05,No so that's mostly red and green I believe.,TS3006c.C.argumentstructs.Daan.17,NONE
TS3006c.D.argumentstructs.Daan.13,D,1781.4,1784.29,Which which uh colour should the buttons be ?,TS3006c.B.argumentstructs.Daan.6,"TS3006c.B.argumentstructs.Daan.8, TS3006c.D.argumentstructs.Daan.15"
TS3006c.B.argumentstructs.Daan.8,B,1785.52,1786.58,That's adjustable.,TS3006c.D.argumentstructs.Daan.13,"TS3006c.D.argumentstructs.Daan.14, TS3006c.A.argumentstructs.Daan.19, TS3006c.B.argumentstructs.Daan.10"
TS3006c.A.argumentstructs.41,A,1787.75,1788.25,Woah.,NONE,NONE
TS3006c.D.argumentstructs.Daan.14,D,1789.12,1789.94,Why adjustable,TS3006c.B.argumentstructs.Daan.8,NONE
TS3006c.A.argumentstructs.Daan.19,A,1789.21,1790.42,All all buttons ?,TS3006c.B.argumentstructs.Daan.8,TS3006c.B.argumentstructs.Daan.9
TS3006c.D.argumentstructs.34,D,1789.94,1792.3,? No uh,NONE,NONE
TS3006c.B.argumentstructs.Daan.9,B,1790.55,1792.18,Yeah ? Or not.,TS3006c.A.argumentstructs.Daan.19,TS3006c.A.argumentstructs.Daan.20
TS3006c.A.argumentstructs.Daan.20,A,1791.51,1792.24,Okay.,TS3006c.B.argumentstructs.Daan.9,NONE
TS3006c.B.argumentstructs.Daan.10,B,1793.73,1796.09,That's how we are going to make it uh more trendy.,TS3006c.B.argumentstructs.Daan.8,TS3006c.B.argumentstructs.Daan.11
TS3006c.B.argumentstructs.Daan.11,B,1797.42,1799.914,Or is it uh too expensive ?,TS3006c.B.argumentstructs.Daan.10,NONE
TS3006c.D.argumentstructs.Daan.15,D,1797.56,1805.673,But  maybe I mean they have to they have to have some colour right ? And if the background is very dark blue,TS3006c.D.argumentstructs.Daan.13,"TS3006c.A.argumentstructs.Daan.21, TS3006c.A.argumentstructs.Daan.22"
TS3006c.A.argumentstructs.42,A,1800.4,1801.97,It's difficult.,NONE,NONE
TS3006c.A.argumentstructs.Daan.21,A,1804.38,1804.89,Blue.,TS3006c.D.argumentstructs.Daan.15,NONE
TS3006c.A.argumentstructs.Daan.22,A,1805.98,1806.73,Maybe green.,TS3006c.D.argumentstructs.Daan.15,NONE
TS3006c.C.argumentstructs.Daan.18,C,1806.96,1819.91,"But don't we wanna make the background the the bright colo colours ? So th the total of the thing is very bright ? Like the pictures I showed you guys. Those things were all like like bright red, bright red, flashy.",TS3006c.B.argumentstructs.Daan.6,NONE
TS3006c.D.argumentstructs.35,D,1815.56,1821.23,Yeah ? So more like,NONE,NONE
TS3006c.A.argumentstructs.43,A,1817.83,1823.73,Mm-hmm flashy. Mm bzz.,NONE,NONE
