ae_id,speaker,start_time,end_time,sentence,source,targets
IS1002b.C.argumentstructs.23,C,675.95,682.67,"um we should go for the user-oriented device, so simple controls and good ergonomics",NONE,NONE
IS1002b.C.argumentstructs.Rutger.1,C,682.67,691.296,". Um and uh although I th I th I'm still here recommending the teletext so I'll remove that, I guess, but um we should go for the",NONE,"IS1002b.A.argumentstructs.Rutger.5, IS1002b.A.argumentstructs.Rutger.18"
IS1002b.A.argumentstructs.Rutger.5,A,690.99,704.35,"But I t I think what the  the management recommendation was less that there's a worry that teletext will become outdated rather than we shouldn't have it. So I I still think if it's cheap enough functionality-wise to include, it really should be in there.",IS1002b.C.argumentstructs.Rutger.1,"IS1002b.A.argumentstructs.Rutger.6, IS1002b.D.argumentstructs.Rutger.11, IS1002b.C.argumentstructs.Rutger.9, IS1002b.B.argumentstructs.Rutger.14, IS1002b.D.argumentstructs.Rutger.14, IS1002b.A.argumentstructs.Rutger.14"
IS1002b.B.argumentstructs.37,B,704.32,704.6,Mm-hmm.,NONE,NONE
IS1002b.A.argumentstructs.Rutger.6,A,704.83,726.0,"Because otherwise we're just going to  I mean  even if it's necessary or not, if you  if you're given the choice between a t a remote with teletext or without uh when it really  if it i  if it isn't more expensive for us to k make  because as far as I understand it,  it can be operated with the same set of buttons, yeah ? So it should be in there.",IS1002b.A.argumentstructs.Rutger.5,IS1002b.B.argumentstructs.Rutger.8
IS1002b.B.argumentstructs.Rutger.8,B,724.61,731.66,Right as far as  i it's just uh  the cost of an extra button. I mean software-wise there's really no difference. I think.,IS1002b.A.argumentstructs.Rutger.6,IS1002b.C.argumentstructs.Rutger.2
IS1002b.C.argumentstructs.Rutger.2,C,724.614,725.25,Yeah,IS1002b.B.argumentstructs.Rutger.8,NONE
IS1002b.C.argumentstructs.24,C,725.25,725.25,.,NONE,NONE
IS1002b.A.argumentstructs.43,A,728.88,731.78,Yeah. Okay. Isn't,NONE,NONE
IS1002b.D.argumentstructs.Rutger.11,D,731.984,750.49,I have maybe a silly question. I  in the very beginning it said with the with the advent of computers there's gonna be the  it's gonna be out-moded teletext. I I don't understand how those two things are connected. How does how does computers and teletext  h how  why is one eliminating the need of the other ? I don't understand that.,IS1002b.A.argumentstructs.Rutger.5,"IS1002b.A.argumentstructs.Rutger.7, IS1002b.C.argumentstructs.Rutger.5, IS1002b.D.argumentstructs.Rutger.12"
