ae_id,speaker,start_time,end_time,sentence,source,targets
IS1009c.A.argumentstructs.Daan.8,A,1640.48,1647.56,"Okay. And the case. And I think we all agree on the case, we wanna have something uh maybe bright, colourful.",NONE,"IS1009c.D.argumentstructs.Daan.7, IS1009c.B.argumentstructs.Daan.10, IS1009c.C.argumentstructs.Daan.7, IS1009c.B.argumentstructs.Daan.11"
IS1009c.C.argumentstructs.11,C,1647.65,1648.1,Yeah.,NONE,NONE
IS1009c.D.argumentstructs.Daan.7,D,1648.16,1652.3,"Bright, colourful, trendy trendy design, and strong.",IS1009c.A.argumentstructs.Daan.8,IS1009c.C.argumentstructs.Daan.8
IS1009c.B.argumentstructs.Daan.10,B,1648.81,1649.7,And compact.,IS1009c.A.argumentstructs.Daan.8,NONE
IS1009c.C.argumentstructs.Daan.7,C,1649.14,1650.21,And also strong.,IS1009c.A.argumentstructs.Daan.8,NONE
IS1009c.C.argumentstructs.Daan.8,C,1650.87,1652.05,"Trendy, yeah",IS1009c.D.argumentstructs.Daan.7,NONE
IS1009c.B.argumentstructs.Daan.11,B,1651.19,1652.9,Trendy design and compact.,IS1009c.A.argumentstructs.Daan.8,IS1009c.A.argumentstructs.Daan.9
IS1009c.C.argumentstructs.12,C,1652.05,1652.05,.,NONE,NONE
IS1009c.A.argumentstructs.13,A,1653.08,1653.48,Mm-hmm.,NONE,NONE
IS1009c.A.argumentstructs.Daan.9,A,1654.79,1657.39,"Trendy design, compact and strong.",IS1009c.B.argumentstructs.Daan.11,NONE
IS1009c.D.argumentstructs.12,D,1657.31,1657.79,Mm-hmm.,NONE,NONE
IS1009c.B.argumentstructs.14,B,1657.46,1657.93,Yes.,NONE,NONE
