ae_id,speaker,start_time,end_time,sentence,source,targets
IS1006b.B.argumentstructs.Daan.1,B,629.28,636.91,"I got one question, uh you are a Market Expert so should we aim at the young people or not ?",NONE,IS1006b.D.argumentstructs.Daan.1
IS1006b.D.argumentstructs.8,D,629.31,631.27,"I can go back. Yeah one question, yeah ?",NONE,NONE
IS1006b.C.argumentstructs.4,C,629.87,666.82,"Thank you. Mm. Mm. Mm, yep. Thank you.",NONE,NONE
IS1006b.D.argumentstructs.Daan.1,D,633.67,653.226,"I am.  I think we should aim at the young people. But uh I think they are  they are those uh who might be more interested in a in a new device. In general the the early adopters of a new device are young people, less than  more than",IS1006b.B.argumentstructs.Daan.1,IS1006b.B.argumentstructs.Daan.2
IS1006b.B.argumentstructs.Daan.2,B,651.98,654.33,"Okay, then teletext is used less.",IS1006b.D.argumentstructs.Daan.1,IS1006b.D.argumentstructs.Daan.2
IS1006b.A.argumentstructs.4,A,654.74,655.06,Mm-hmm.,NONE,NONE
IS1006b.D.argumentstructs.Daan.2,D,655.02,664.35,"Then teletext is useless for them I think, yeah. Because they they have other means of finding their information. Yeah. But  yeah. Nope.",IS1006b.B.argumentstructs.Daan.2,IS1006b.A.argumentstructs.Daan.1
IS1006b.B.argumentstructs.7,B,656.76,664.4,Okay. Mm-hmm. Mm-hmm. Mm. Okay.,NONE,NONE
IS1006b.A.argumentstructs.Daan.1,A,660.32,663.76,Mm-hmm mm mm. Okay. That's good point.,IS1006b.D.argumentstructs.Daan.2,NONE
IS1006b.D.argumentstructs.9,D,665.44,665.67,'Kay ?,NONE,NONE
IS1006b.A.argumentstructs.5,A,665.54,665.85,Okay.,NONE,NONE
