ae_id,speaker,start_time,end_time,sentence,source,targets
IS1007c.B.argumentstructs.Daan.9,B,1749.94,1755.23,Mm.  I think we need to define also a s the set of vocabularies for the speech recogniser,NONE,"IS1007c.B.argumentstructs.Daan.10, IS1007c.B.argumentstructs.Daan.15"
IS1007c.C.argumentstructs.20,C,1756.69,1756.86,Yeah.,NONE,NONE
IS1007c.B.argumentstructs.Daan.10,B,1757.22,1774.464,"because uh if you want  uh say we can sort by channels or sort by T_V_ programs, you have to decide a category of vocabularies for them. If numbers, they're easy, but if  name the channel by by name",IS1007c.B.argumentstructs.Daan.9,"IS1007c.C.argumentstructs.Daan.10, IS1007c.B.argumentstructs.Daan.11, IS1007c.C.argumentstructs.Daan.13, IS1007c.D.argumentstructs.Daan.11"
IS1007c.C.argumentstructs.Daan.10,C,1775.2,1791.569,Well I think we can we can have just numbers for channels and you can say to your remote control like uh sports and then on the T_V_ you have a list with with uh uh well with sports program playing now and and uh,IS1007c.B.argumentstructs.Daan.10,IS1007c.D.argumentstructs.Daan.6
IS1007c.B.argumentstructs.24,B,1787.15,1834.8,Mm. Mm. Yeah. Mm. Mm. Mm. Mm.,NONE,NONE
IS1007c.D.argumentstructs.Daan.6,D,1790.57,1811.425,"No, we have a problem there. You see uh if you have a voice commands and you are s you are watching a score on uh  basketball score or something, and if the score comes twenty four thirty five, you've just say twenty five and suddenly  the screen the channel goes to twenty five. So I think there should be a prefix to some numbers",IS1007c.C.argumentstructs.Daan.10,"IS1007c.C.argumentstructs.Daan.11, IS1007c.C.argumentstructs.Daan.12, IS1007c.D.argumentstructs.Daan.7"
IS1007c.A.argumentstructs.13,A,1804.0,1858.55,yeah. Mm-hmm. Or just,NONE,NONE
IS1007c.C.argumentstructs.Daan.11,C,1808.26,1809.36,"That's right, yeah, yeah.",IS1007c.D.argumentstructs.Daan.6,NONE
IS1007c.C.argumentstructs.Daan.12,C,1810.33,1819.179,Well but well e every possible word uh has a probability to come about of the T_V_ so.,IS1007c.D.argumentstructs.Daan.6,NONE
IS1007c.D.argumentstructs.Daan.7,D,1817.64,1830.82,I mean the the  you just check all the probability that saying T_V_ twenty five and just ordinary twenty five. Ordinary twenty five you almost there's a probability of being said around sixty seventy percent and T_V_ twenty five,IS1007c.D.argumentstructs.Daan.6,IS1007c.D.argumentstructs.Daan.8
IS1007c.D.argumentstructs.Daan.8,D,1831.95,1837.72,I dunno it will be round about one or two percent. So it's better to have some prefix  before the number.,IS1007c.D.argumentstructs.Daan.7,NONE
IS1007c.B.argumentstructs.Daan.11,B,1837.82,1844.64,But I I I think that the user would like wou would like to associate the channel or call the channel rather than than the numbers.,IS1007c.B.argumentstructs.Daan.10,IS1007c.B.argumentstructs.Daan.12
IS1007c.D.argumentstructs.16,D,1844.6,1846.01,"Yeah something, some code.",NONE,NONE
IS1007c.B.argumentstructs.Daan.12,B,1845.77,1855.28,"You say numbe channel number five of the T_V_ correspond to something else in the channel. So some people may want to say, I want to see this channel.",IS1007c.B.argumentstructs.Daan.11,"IS1007c.D.argumentstructs.Daan.9, IS1007c.B.argumentstructs.Daan.14, IS1007c.D.argumentstructs.Daan.10, IS1007c.A.argumentstructs.Daan.5, IS1007c.A.argumentstructs.Daan.6"
IS1007c.D.argumentstructs.Daan.9,D,1856.2,1860.25,That will be too big. And it will be difficult for the vocabulary also.,IS1007c.B.argumentstructs.Daan.12,"IS1007c.B.argumentstructs.Daan.13, IS1007c.A.argumentstructs.Daan.4"
IS1007c.B.argumentstructs.Daan.13,B,1859.88,1867.21,Yeah. Check with the v R_ and D_ department the capability of recogniser.  Uh ?,IS1007c.D.argumentstructs.Daan.9,NONE
IS1007c.A.argumentstructs.Daan.4,A,1862.98,1878.04,It's difficult to to just say the the name of the channel. It will be difficult to say just the name of the channel. Because you have to s t uh a ch yeah but you have to to have all the name of the channel in your vocabulary.,IS1007c.D.argumentstructs.Daan.9,NONE
IS1007c.B.argumentstructs.Daan.14,B,1871.09,1873.04,"Well, it's convenient for the user.",IS1007c.B.argumentstructs.Daan.12,NONE
IS1007c.D.argumentstructs.Daan.10,D,1879.68,1884.144,"Als might be you just forgot the channel name, you kno only know the number. Then",IS1007c.B.argumentstructs.Daan.12,NONE
IS1007c.A.argumentstructs.14,A,1880.77,1881.37,Or maybe,NONE,NONE
IS1007c.C.argumentstructs.21,C,1882.19,1882.71,Yeah.,NONE,NONE
IS1007c.A.argumentstructs.Daan.5,A,1884.5,1894.34,"Or maybe the user can create his own vocabulary, just pronouncing the the name of channels and include in the vocabulary.",IS1007c.B.argumentstructs.Daan.12,NONE
IS1007c.B.argumentstructs.25,B,1888.22,1888.54,Mm.,NONE,NONE
IS1007c.B.argumentstructs.Daan.15,B,1890.29,1934.288,"I I think that I have  mm mm  I think there's another way you can do is that uh you can uh  if  when the user ch press a button to choose the channel for example, then what you can do is that the  you can make the T_V_ screen to split them into small little little squares of images where you you you have a snapshot of every channel, so let's say it's a four by four matrix of the images, so now what you do is f looking at the all the sixteen channels available at one time, you just use the control button uh, you just you you just choose the the option you want and then you just hit the button and then you go to that channel. So",IS1007c.B.argumentstructs.Daan.9,IS1007c.B.argumentstructs.Daan.16
IS1007c.A.argumentstructs.Daan.6,A,1934.23,1937.96,Or lets the user create his own vocabulary,IS1007c.B.argumentstructs.Daan.12,IS1007c.A.argumentstructs.Daan.7
IS1007c.B.argumentstructs.26,B,1936.63,1936.89,Mm.,NONE,NONE
IS1007c.B.argumentstructs.Daan.16,B,1939.38,1941.98,So you you don't use the speech recogniser in that way.,IS1007c.B.argumentstructs.Daan.15,NONE
IS1007c.A.argumentstructs.15,A,1939.56,1940.35,of channel.,NONE,NONE
IS1007c.A.argumentstructs.Daan.7,A,1942.87,1958.554,No. Just you have uh in the beginning you have uh t you have to train  you have to create the vocabulary by yourself. By associating each channel with the name or,IS1007c.A.argumentstructs.Daan.6,NONE
IS1007c.C.argumentstructs.Daan.13,C,1953.78,1998.26,"Well I uh I also  I I also think about uh another problem, if if there is uh more than one person who is watching T_V_  the s well the the speech uh r recogniser should be able to distinguish between the two. Because uh I remember when I was a  young child with my sister we  yeah we always want to w to watch different emission at the at the same time so it's a pr it could be a problem if uh if well if someone passes by when you are watching T_V_ and say oh T_V_ thirty  and just run, s",IS1007c.B.argumentstructs.Daan.10,"IS1007c.A.argumentstructs.Daan.8, IS1007c.B.argumentstructs.Daan.17"
IS1007c.A.argumentstructs.Daan.8,A,1967.04,1970.036,And for each one has his own.,IS1007c.C.argumentstructs.Daan.13,NONE
IS1007c.D.argumentstructs.17,D,1967.99,1981.09,. Yeah.,NONE,NONE
IS1007c.B.argumentstructs.27,B,1974.2,1974.42,Mm.,NONE,NONE
IS1007c.A.argumentstructs.16,A,1978.4,1981.59,Or you have to s,NONE,NONE
IS1007c.B.argumentstructs.Daan.17,B,1979.94,1981.74,"Yeah, I wanna watch this, I wanna watch that.",IS1007c.C.argumentstructs.Daan.13,NONE
IS1007c.B.argumentstructs.28,B,1997.79,1998.14,Mm.,NONE,NONE
IS1007c.D.argumentstructs.Daan.11,D,1999.32,2026.53,"A and in the same lines we would have a  one more problem. If we are using the television in the different environments, say in the factories or in the shops where there is a lot of noise and this voice commands if they fail to work, that would bring a bad name  bad uh reputation for our company. So I think we should specify some pre-requirements if we want to use a voice commands, say that it should be used in an silent homely environment or s something.",IS1007c.B.argumentstructs.Daan.10,NONE
