ae_id,speaker,start_time,end_time,sentence,source,targets
TS3004d.B.argumentstructs.Daan.1,B,78.53,85.81,Are we doing the the speech recognition ? Because we didn't have enough time to uh de um design the inside as well.,NONE,"TS3004d.A.argumentstructs.Daan.1, TS3004d.B.argumentstructs.Daan.2, TS3004d.B.argumentstructs.Daan.3"
TS3004d.A.argumentstructs.Daan.1,A,85.96,90.93,"Okay, but it's still possible uh uh financially. So if you want to, it's okay.",TS3004d.B.argumentstructs.Daan.1,NONE
TS3004d.B.argumentstructs.Daan.2,B,90.71,92.62,Okay yeah. Well then then we're gonna put it in.,TS3004d.B.argumentstructs.Daan.1,NONE
TS3004d.A.argumentstructs.10,A,92.92,95.15,"Okay, just",NONE,NONE
TS3004d.B.argumentstructs.Daan.3,B,94.76,97.914,"Yeah, just uh we have to design the inside then, but it should be uh",TS3004d.B.argumentstructs.Daan.1,TS3004d.C.argumentstructs.Daan.1
TS3004d.C.argumentstructs.Daan.1,C,97.32,103.6,"Yeah, and   Or are we making a slide open, like underneath ? Or fold open",TS3004d.B.argumentstructs.Daan.3,"TS3004d.A.argumentstructs.Daan.2, TS3004d.C.argumentstructs.Daan.2, TS3004d.B.argumentstructs.Daan.4, TS3004d.A.argumentstructs.Daan.3"
TS3004d.C.argumentstructs.9,C,103.6,104.05,? I don't know.,NONE,NONE
TS3004d.A.argumentstructs.Daan.2,A,104.35,107.88,Slide open is uh quite usable for remote controls.,TS3004d.C.argumentstructs.Daan.1,NONE
TS3004d.C.argumentstructs.Daan.2,C,105.4,106.5,It's probably better,TS3004d.C.argumentstructs.Daan.1,TS3004d.C.argumentstructs.Daan.3
TS3004d.C.argumentstructs.10,C,106.5,106.5,.,NONE,NONE
TS3004d.C.argumentstructs.Daan.3,C,108.24,112.83,"Yeah, s Like underneath uh you can slide it open and you  other functions.",TS3004d.C.argumentstructs.Daan.2,TS3004d.A.argumentstructs.Daan.4
TS3004d.B.argumentstructs.Daan.4,B,111.444,113.83,It's may maybe uh a bit stronger as well.,TS3004d.C.argumentstructs.Daan.1,NONE
TS3004d.A.argumentstructs.Daan.3,A,112.43,113.56,Maybe that's better.,TS3004d.C.argumentstructs.Daan.1,NONE
TS3004d.A.argumentstructs.Daan.4,A,114.66,116.15,"Yeah, that's that's a very good point.",TS3004d.C.argumentstructs.Daan.3,NONE
TS3004d.B.argumentstructs.13,B,129.97,148.98,"No. Yeah, we're gonna use the advanced chip then. Advanced chip was for uh spee Yeah. Okay. Good.",NONE,NONE
TS3004d.C.argumentstructs.11,C,139.23,144.14,"Yeah, I I think so. I don't know. Ah okay.",NONE,NONE
TS3004d.A.argumentstructs.11,A,145.04,148.14,So I already calculated that and it's still in the budget. So it's okay.,NONE,NONE
